,auc_roc,auc_prgs
awt01,0.7222222222222222,0.9074074074074073
awt02,0.65625,0.2439236111111111
awt03,0.78125,0.6180555555555555
awt04,0.4285714285714286,-0.443877551020408
awt05,0.64,0.33549382716049386
awt06,0.8,0.7250000000000001
awt07,0.5476190476190476,0.07695578231292517
awt08,0.48958333333333337,-0.3341049382716049
awt09,0.5625,0.1410802469135803
awt10,0.5733333333333334,0.3980709876543211
awt11,0.7222222222222222,0.6203703703703703
awt12,0.6767676767676767,0.27604923973787865
awt13,0.6862745098039216,0.4555940023068051
awt14,0.6071428571428571,0.17984693877551022
awt15,0.6666666666666666,0.4838523644752017
awt16,0.58,0.2040241559586798
awt17,0.5,-0.004104938271604868
awt18,0.6274509803921569,0.11591695501730098
awt19,0.5104166666666666,-0.01867346938775504
awt20,0.6842105263157895,-2.31578947368421
awt21,0.5555555555555556,-1.4444444444444442
awt22,0.5,-0.8888888888888887
awt23,0.3888888888888889,-0.35185185185185175
awt24,0.35714285714285715,-0.2922448979591836
awt25,0.5686274509803921,0.5655997693194923
awt26,0.4,-0.48225308641975306
awt27,0.6565656565656566,0.12640015535665144
awt28,0.7976190476190476,0.759829931972789
awt29,0.5499999999999999,0.10555555555555562
awt30,0.6354166666666666,0.38103363567649284
awt31,0.6464646464646464,0.14243792087542081
awt32,0.75,0.484375
awt33,0.6666666666666666,0.6898788927335638
awt34,0.453125,-0.26128472222222215
awt35,0.5466666666666666,0.16373456790123458
awt36,0.5,0.07291666666666667
awt37,0.390625,-0.6414930555555556
awt38,0.6000000000000001,0.23260818216175358
awt39,0.5604395604395604,0.03036348267117498
awt40,0.5164835164835164,0.10723959800882889
