,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
awt01,0.7234396914446004,0.6219084236795869,0.3236314519146349
awt02,0.8689766970618035,0.8565307472802918,0.6246848638183287
awt03,0.5644953892501561,0.17341122999912,0.1417828424478709
awt04,0.4611211573236888,-0.0734762687466492,-0.0558001237761349
awt05,0.7610921501706485,0.7025448773469541,0.2685763364498814
awt06,0.8172381251966027,0.5939079594374252,0.5753358615472679
awt07,0.5782925782925783,0.2301864951521979,0.148022895986066
awt08,0.9491927654525188,0.9358595205893616,0.760325837326968
awt09,0.7342502218278616,0.7315532212215571,0.2882808117052185
awt10,0.66909705058494,0.3911691431271324,0.2784667404679843
awt11,0.5681016231474947,0.3302056720247879,0.05591174481205
awt12,0.8605324074074074,0.5759376362081394,0.2580521226017899
awt13,0.7680425111220959,0.6122495172846351,0.4104556294561577
awt14,0.9027132867132868,0.9448574422186704,0.528632720873858
awt15,0.7998442367601246,0.5565341812129215,0.5270752592147544
awt16,0.7675498188405797,0.7226067171462265,0.3359856676927691
awt17,0.8063987546597846,0.7063231873663249,0.4875995681950272
awt18,0.7112653266693035,0.4541950065080081,0.3697531186398178
awt19,0.7181272644927537,0.5804410347646388,0.2955605873150712
awt20,0.5561057692307693,0.0359899562209369,0.028119005635198
awt21,0.748780487804878,0.6457852393329355,0.3631766758235737
awt22,0.7878787878787878,0.6621389362209892,0.4738302824865537
awt23,0.6583044982698962,0.3475736940269379,0.2609301126094794
awt24,0.4824691358024691,-0.0437214797756246,0.0169562273793356
awt25,0.7371794871794872,0.4521826152912027,0.3057001213790433
awt26,0.7289244186046512,0.6463716828631706,0.2851066757738617
awt27,0.7288888888888889,0.4745905651760131,0.327907752958566
awt28,0.8400974025974025,0.6245245439375837,0.3555950103589149
awt29,0.7409961685823755,0.5232747639906307,0.2713710467717009
awt30,0.6627140974967062,0.3646013837600513,0.2532075256388948
awt31,0.7173387096774193,0.3644071547646559,0.3605349998160764
awt32,0.6916144200626959,0.3837986078761746,0.360942370750542
awt33,0.7270299145299145,0.523524699039148,0.3155202602642254
awt34,0.8873563218390805,0.8884358299783094,0.4965268033680938
awt35,0.7280769230769231,0.5174684847795323,0.370017582101144
awt36,0.4798154555940023,0.0454255394890662,-0.0693521302343353
awt37,0.8477366255144033,0.8338508347442777,0.5049390248051486
awt38,0.8372093023255814,0.8007750093222497,0.4417152377306895
awt39,0.6950892857142856,0.4415430677026124,0.3118238417618655
awt40,0.7830478700043918,0.7056230239513668,0.43472845818390915
