,auc_roc,auc_prgs
can01,0.7777777777777778,-0.22222222222222204
can02,0.4666666666666667,-0.029166666666666646
can03,0.640625,0.19618055555555555
can04,0.196078431372549,-1.7383217993079583
can05,0.6309523809523809,0.39979591836734696
can06,0.5333333333333334,0.16373456790123458
can07,0.5,-0.31481481481481466
can08,0.7894736842105263,-1.2105263157894735
can09,0.4117647058823529,-0.24711649365628616
can10,0.5066666666666666,-0.30208333333333326
can11,0.7500000000000001,0.05555555555555572
can12,0.6666666666666666,0.06559976931949243
can13,0.5555555555555556,-0.29629629629629617
can14,0.8627450980392156,0.8689446366782008
can15,0.6944444444444445,-0.24999999999999983
can16,0.4722222222222222,0.25000000000000006
can17,0.5098039215686274,-0.07194348327566334
can18,0.9411764705882353,0.9519896193771625
can19,0.588235294117647,0.039648212226066834
can20,0.7058823529411765,0.25605536332179923
