,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
can01,0.8980089012045124,0.8678170816702805,0.183468093581634
can02,0.7129679964729678,0.504129857430447,0.2927083505892141
can03,0.6404670576182425,0.4320276534799339,0.1046973388216556
can04,0.7049887425204167,0.6240942955197307,0.1647257717144398
can05,0.655611233835859,0.5527814687937865,0.1206717324994574
can06,0.874819677329639,0.9801264798526,0.0856917419687702
can07,0.6721892562600527,0.4704053941862011,0.087955574703204
can08,0.5550962743296299,0.1529522725612074,0.0942140013159089
can09,0.7340877426651179,0.8443492047069062,0.0857972993835108
can10,0.7318781011227055,0.4254317959174562,0.2217564990666475
can11,0.6035514136805613,0.2256154108354052,0.187393457643572
can12,0.8252500324996379,0.7550161537012692,0.3960127519372001
can13,0.5325292591740368,0.1810688658761857,0.0245304633781089
can14,0.8603132277185801,0.8855355529193129,0.2223252226371168
can15,0.652622997052394,0.3287525445613979,0.1998649409828659
can16,0.8014326529887359,0.7547557083626771,0.1597759302498015
can17,0.776158804655114,0.687262505506382,0.3566415368147115
can18,0.7553350088528806,0.6259005396502577,0.2506175171101716
can19,0.5635826974633945,-17.17094679717585,0.0127303647640224
can20,0.7819593491448737,0.6514668022287531,0.2319629134187454
