,auc_roc,auc_prgs
nsw01,,
nsw02,,
nsw03,,
nsw04,0.0,-3.0
nsw05,,
nsw06,,
nsw07,,
nsw08,,
nsw09,,
nsw10,,
nsw11,,
nsw12,,
nsw13,,
nsw14,0.33333333333333337,-1.6666666666666663
nsw15,,
nsw16,,
nsw17,0.0,-3.0
nsw18,0.16666666666666663,-2.3333333333333326
nsw19,,
nsw20,,
nsw21,,
nsw22,,
nsw23,,
nsw24,,
nsw25,0.33333333333333337,-1.6666666666666663
nsw26,0.5,-1.0
nsw27,0.33333333333333337,-1.6666666666666663
nsw28,,
nsw29,,
nsw30,,
nsw31,,
nsw32,0.5,-1.0
nsw33,0.3,-0.4700000000000001
nsw34,0.5,-1.0
nsw35,,
nsw36,0.33333333333333337,-1.6666666666666663
nsw37,,
nsw38,,
nsw39,0.33333333333333337,-1.6666666666666663
nsw40,0.5,-1.0
nsw41,0.8333333333333334,0.3333333333333335
nsw42,0.6666666666666667,-0.33333333333333315
nsw43,0.5,-1.0
nsw44,0.6666666666666667,-0.33333333333333315
nsw45,0.09999999999999998,-0.9200000000000002
nsw46,,
nsw47,1.0,1.0
nsw48,,
nsw49,0.09999999999999998,-0.9200000000000002
nsw50,0.0,-3.0
nsw51,,
nsw52,0.09999999999999998,-0.9200000000000002
nsw53,0.33333333333333337,-1.6666666666666663
nsw54,0.5,-1.0
