,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nsw01,0.7416481481481481,0.5619085590907693,0.3236694017883363
nsw02,0.6498328656322219,0.504407107697934,0.2124631344866756
nsw03,0.6529620955850464,0.7215661679383136,0.1177714685014012
nsw04,0.8797789725209081,0.9183629059940188,0.2147136823127353
nsw05,0.5983490566037736,0.3062303350594891,0.0786914311126204
nsw06,0.4566790262328319,-0.1458575214486467,-0.0626259613205766
nsw07,0.7344452125820947,0.7621643371584765,0.2190672114641096
nsw08,0.8616568914956011,0.8441819104450281,0.2483096947709605
nsw09,0.6812675324675324,0.5630740638752616,0.1823676019154617
nsw10,0.9815613026819924,0.998235978993262,0.2272862796669974
nsw11,0.7204284503352084,0.5727001316121804,0.1213464902138688
nsw12,0.7552812071330589,0.6244336347094398,0.170420033687443
nsw13,0.7922008862629247,0.8259168956180784,0.2000805171854243
nsw14,0.8128838934110975,0.622806124959181,0.4596101333074696
nsw15,0.8398556524425348,0.8151491900697533,0.4454755535186873
nsw16,0.6529667515583009,0.4028071494405471,0.19019754871778
nsw17,0.6880002278618018,0.533961583736026,0.2035369691322423
nsw18,0.6563455657492354,0.363379511936596,0.209094111844349
nsw19,0.9552501761804087,0.5852391732419526,0.1591621142170745
nsw20,0.7171975704851072,0.911934355369492,0.1114729739564584
nsw21,0.8643334748461048,0.7805513155819708,0.2100975291099009
nsw22,0.9290938511326862,0.6931322352580176,0.2204618609339102
nsw23,0.7826854754440963,0.6197625065334839,0.4005179236876098
nsw24,0.6548525050008047,0.0342751207001032,0.1317629182874873
nsw25,0.6837895187215246,0.4220359866052862,0.1230100257592738
nsw26,0.6149879306561333,-4.1403300357459445,0.0292726856722095
nsw27,0.5811355597170204,0.2058486724401645,0.1487611915516221
nsw28,0.7035489531053952,0.4762885364896427,0.3480035509357591
nsw29,0.7340132541526809,0.7854799774487199,0.1207905402822585
nsw30,0.6209193043608627,0.2495813544850992,0.1819415163663106
nsw31,0.5943254398087625,0.1786690510414106,0.1616299621501588
nsw32,0.6211768029949848,-0.7231709559102801,0.0539726837276096
nsw33,0.5206564009129468,0.0484866006654225,0.0448776964827729
nsw34,0.5469415912274687,0.1097559373700967,0.0545957822460617
nsw35,0.3289730507139677,-0.9830986641604256,-0.1004551761431633
nsw36,0.7251483911277726,0.9384604355136884,0.3209415653106356
nsw37,0.5376246544233807,0.2525468214614842,0.0904760978280364
nsw38,0.486150801014412,-0.6437806330477728,-0.0602176935287443
nsw39,0.5476024045854886,0.1126369602854537,0.0574598841348421
nsw40,0.6272593738556552,0.2954839913034824,0.2141294166508406
nsw41,0.5698069699995246,0.1303256765949065,0.0846829207096639
nsw42,0.7806629834254143,-12.62067329378767,0.0466194997534069
nsw43,0.5070747154080487,0.0151697741823193,0.0056807972771451
nsw44,0.979753086419753,0.9991557653769844,0.2980418961780401
nsw45,0.7174288990394556,0.6633523886991888,0.2768729711488444
nsw46,0.981917944880908,0.9995761359899455,0.500319903628897
nsw47,0.9048253172489424,0.6353253984969743,0.2839720067589583
nsw48,0.8798975635164072,0.922898134906996,0.4146815179668613
nsw49,0.745061393177282,0.5721294466900826,0.3030606932571061
nsw50,0.8268442128624499,0.6699317877407224,0.157857634709459
nsw51,0.7760312707917498,-1.87205006155354,0.0729562464070406
nsw52,0.7952478521873539,0.7515470841255719,0.3847689213213375
nsw53,0.8095669573753161,0.9079796848965394,0.2043155057335254
nsw54,0.49849246231155786,-1.416298177944494,-0.009735097538980083
