,auc_roc,auc_prgs
nz01,0.5507246376811594,0.49328922495274113
nz02,0.49715909090909094,0.03897832686793728
nz03,0.4145833333333333,-0.24275651740034856
nz04,0.4599483204134367,-0.05604265198507738
nz05,0.4857142857142857,-0.45207302567117386
nz06,0.24275362318840576,-1.5137775677378704
nz07,0.34420289855072467,-1.18125236294896
nz08,0.4857954545454545,-0.024539738760518032
nz09,0.6063492063492063,0.36531332549480705
nz10,0.374468085106383,0.3266020320909412
nz11,0.4583333333333333,-0.31606867283950607
nz12,0.49787234042553197,0.2364635204466576
nz13,0.5572916666666666,0.12172067901234575
nz14,0.35319148936170214,-0.7628995649112219
nz15,0.45000000000000007,-0.10749231672007652
nz16,0.31770833333333337,0.10802469135802473
nz17,0.5208333333333333,-0.0001929012345677503
nz18,0.5,0.10159583333333339
nz19,0.5760869565217391,0.05389729048519223
nz20,0.46739130434782605,-0.47109325771896654
nz21,0.4565217391304348,-0.2255387523629489
nz22,0.4255319148936171,-0.22091475529399937
nz23,0.48510638297872344,-0.4705494567677683
nz24,0.48936170212765956,-0.0974768623308687
nz25,0.5191489361702128,0.35045520849051853
nz26,0.7200000000000001,-0.6392000000000001
nz27,0.5289855072463768,0.2858774417139256
nz28,0.5364583333333333,0.4092399691358025
nz29,0.4715909090909091,-0.14629364142351153
nz30,0.4285714285714286,-2.257583645703179
nz31,0.49275362318840576,-0.33651701323251415
nz32,0.3541666666666667,-2.860146604938271
nz33,0.32653061224489793,-2.6456337637095655
nz34,0.5374149659863945,-1.1366965153408304
nz35,0.6802721088435374,0.7064070526169652
nz36,0.44680851063829785,-1.6176751672451086
nz37,0.5276595744680851,0.5180222322820784
nz38,0.4384057971014492,-0.31593572778827955
nz39,0.6302083333333333,0.3123070987654322
nz40,0.65625,0.3260995370370371
nz41,0.28125,-2.7522183641975304
nz42,0.7031250000000001,0.4401041666666667
nz43,0.7239583333333333,0.3181905864197532
nz44,0.75,0.7023999999999999
nz45,0.56,-0.6584000000000001
nz46,0.5374149659863945,-0.41151256420935695
nz47,0.451063829787234,-1.0822380664956495
nz48,0.5918367346938775,-1.4792968207691242
nz49,0.6925064599483205,0.5550337043281347
nz50,0.7864583333333334,0.5353973765432098
nz51,0.5555555555555556,0.057992398216723015
nz52,0.421875,-1.2317708333333333
