,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nz01,0.7265610338718347,0.1585677505010696,0.037157666455219
nz02,0.8136983671154696,0.7374091976434182,0.4803889459422826
nz03,0.6497615403011885,0.8546089974120776,0.0604280934555872
nz04,0.9035573839955036,0.8536204071689001,0.4315200956891
nz05,0.6974407639353492,0.554089506547928,0.2561437995418162
nz06,0.714245320223874,0.682498167695445,0.1941754140959997
nz07,0.8101353341420434,-2.4692485762934875,0.0521614457372937
nz08,0.8317397385511822,0.8423989158570959,0.3075639765798064
nz09,0.7237288600492157,0.8510431015255686,0.0847525770734961
nz10,0.6397994708899472,0.7206450870065443,0.1096960878612663
nz11,0.871431771827246,0.7937851412607043,0.2626421184544555
nz12,0.5018225122312364,-0.0624671405536979,0.0031474312862928
nz13,0.7295787538758882,0.5138762357817073,0.2754136228065303
nz14,0.4204261057891338,-0.2290715760142964,-0.1261744987060998
nz15,0.8442608127095419,-2.199536503408308,0.0664229844455299
nz16,0.6651268608666294,0.5067364083120363,0.1287122040805719
nz17,0.7866709655275492,0.6393747914103931,0.4375856613547579
nz18,0.960863335124485,0.9767861201111788,0.3808310868694193
nz19,0.6830478984716157,0.4054656909625881,0.1239977831160274
nz20,0.9517973765255612,0.9084672640481012,0.3137367309380101
nz21,0.7470930942771172,0.8246574569836065,0.1916561334503361
nz22,0.7478293693207451,0.7589427703617655,0.1622967832406543
nz23,0.4677758297368357,-0.2612566990378259,-0.0476256774049186
nz24,0.7438177684505072,0.5856456314410066,0.0697152388202071
nz25,0.8930509642712374,0.8493636530060567,0.2307045597228731
nz26,0.8934000991562815,0.9387202928043552,0.2065605973975203
nz27,0.6129636646878025,0.5799560713131868,0.0979807712790395
nz28,0.865555385658176,0.9713075892495268,0.087973871898433
nz29,0.6662074167027956,0.4660478989584032,0.2198051839014207
nz30,0.8085502768380196,0.6700399246850726,0.5094966290878546
nz31,0.910285340314136,0.2707446790269895,0.0520710293009424
nz32,0.730096391725631,0.5401048263507994,0.1842179602998724
nz33,0.8404005122197475,0.7492601932148646,0.2494084520040685
nz34,0.5907671937840532,0.4520344099944227,0.0531321183341548
nz35,0.7653578356421527,0.5392327039071937,0.456601621699931
nz36,0.5270456312390336,0.0990435893423111,0.0296063449030133
nz37,0.5426928875421078,0.0260628082656514,0.0511254609847726
nz38,0.8264058543228442,0.813619599351656,0.3022120504953299
nz39,0.6555755067307433,-2.198723033384058,0.0226735804220434
nz40,0.5416658413611934,-1.698141554039337,-0.0024280713369294
nz41,0.9844339622641508,0.9993391818912796,0.1360743371923837
nz42,0.5247186659771659,0.1006142261071675,0.0340611881158166
nz43,0.661137332376948,-2.624077500235188,0.0317080967818695
nz44,0.868847328947975,0.7725002377506589,0.4483891118698859
nz45,0.9096290435251432,0.9656405874531652,0.2763061617797
nz46,0.8948509601195748,0.2467614050100705,0.0736064339197093
nz47,0.7601485426072945,0.6528405461165384,0.3121928338806362
nz48,0.6751222083746031,0.690940114225888,0.1304516906557206
nz49,0.9397361410897606,0.9611340826261652,0.1517128572016838
nz50,0.7856748401319927,0.8136010675881157,0.1977405667726302
nz51,0.7379607992485998,0.4668979153709822,0.1390177757054684
nz52,0.8796863224657462,0.9306419038962339,0.22390224212300722
