,auc_roc,auc_prgs
sa01,0.6790123456790124,-0.43878600823045266
sa02,,
sa03,,
sa04,,
sa05,,
sa06,0.7857142857142857,-0.714285714285714
sa07,,
sa08,0.4107142857142857,-2.7410714285714284
sa09,0.5679012345679012,-0.31121399176954734
sa10,0.7586206896551724,-2.741379310344828
sa11,,
sa12,0.4482758620689655,-7.5517241379310365
sa13,0.7931034482758621,-2.206896551724138
sa14,0.4482758620689655,-7.5517241379310365
sa15,0.8620689655172413,-1.137931034482759
sa16,0.6896551724137931,-3.8103448275862064
sa17,,
sa18,1.0,1.0
sa19,0.782608695652174,0.8020213715605966
sa20,0.6206896551724138,-4.8793103448275845
sa21,0.639751552795031,0.4460834683589881
sa22,0.5925925925925926,-0.3287037037037037
sa23,,
sa24,0.9285714285714286,0.9846938775510204
sa25,0.5308641975308642,-0.3868312757201647
sa26,,
sa27,,
sa28,,
sa29,0.648,0.6386666666666666
sa30,0.9655172413793104,0.4655172413793103
