,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
sa01,0.5858880778588808,0.5327171667504694,0.0921036935202566
sa02,0.6407145264577013,0.6031553782874484,0.1767143093161129
sa03,0.8897569444444444,0.9772080323899108,0.3271360143579218
sa04,0.961926961926962,0.8963940813460044,0.5133458583938869
sa05,0.8935960591133005,0.4202449002510238,0.2944867750562873
sa06,0.9251231527093596,0.9824464526357513,0.3958226738014008
sa07,0.8984374999999999,0.591991143165085,0.3566464247212187
sa08,0.982638888888889,0.9982529534447524,0.412528857326163
sa09,0.8084507042253521,0.9351112090857489,0.3141314953521915
sa10,0.6122792262405382,0.332575110995174,0.1538494130949263
sa11,0.7595486111111112,0.5778818132191149,0.2027652252567219
sa12,0.867639902676399,0.8821988830011701,0.3920664189552196
sa13,0.8585858585858586,0.9675979355933776,0.3110842864919739
sa14,0.8177339901477833,0.9015626040428062,0.2492147530812265
sa15,0.5849148418491483,0.4322472100539156,0.1016203528247618
sa16,0.864039408866995,0.8874402157295735,0.3102787387285587
sa17,0.8755641521598969,0.7101846405042094,0.3764539467572311
sa18,0.7241788682231896,0.7443147372123505,0.2634370814160259
sa19,0.8376068376068377,0.7692487856798544,0.2845624890322332
sa20,0.8985915492957746,0.979998315588441,0.3455199667225327
sa21,0.8289983397897067,0.8729438915537513,0.3297058208989014
sa22,0.8916827852998066,0.7561362336174926,0.356759970659746
sa23,0.9097222222222222,0.9605677682595672,0.3153998158410858
sa24,0.7757179207560887,0.706575569988082,0.3316313008996692
sa25,0.6783216783216783,0.6270248020863031,0.1502662493217899
sa26,0.621037037037037,0.1108280661228528,0.1539878443566231
sa27,0.8694638694638694,0.9059372492170944,0.3381737184070663
sa28,0.7105633802816901,0.9172220403237666,0.1997055603218077
sa29,0.7296037296037297,0.7426018115528604,0.2086380640104789
sa30,0.7044334975369458,-0.11153275673329174,0.16144782724131326
