,auc_roc,auc_prgs
swi01,0.7037037037037037,0.28240740740740755
swi02,0.3035714285714286,-3.598214285714285
swi03,0.5555555555555556,-0.705761316872428
swi04,0.5384615384615384,0.43877383300460215
swi05,0.375,-1.6364795918367343
swi06,0.4567901234567901,-1.6723251028806585
swi07,0.4642857142857143,-2.729591836734694
swi08,0.4444444444444444,-1.0982510288065843
swi09,0.4197530864197531,-1.4840534979423872
swi10,0.624,0.23644444444444446
swi11,0.5,-3.0
swi12,0.654320987654321,0.28343621399176977
swi13,0.6071428571428571,-1.5867346938775506
swi14,0.6785714285714286,-0.45918367346938777
swi15,0.5185185185185185,-0.5627572016460904
swi16,0.3793103448275862,-8.620689655172413
swi17,0.17857142857142855,-4.737244897959184
swi18,0.8024691358024691,0.336934156378601
swi19,0.7777777777777778,0.6698437500000001
swi20,0.46153846153846156,-0.5127383300460223
swi21,0.39285714285714285,-1.0765306122448979
swi22,0.4444444444444445,-1.086934156378601
swi23,0.26785714285714285,-4.4400510204081645
swi24,0.4567901234567901,-1.6723251028806585
swi25,0.25,-1.5682117028270874
swi26,0.6419753086419753,-0.2618312757201646
swi27,0.408,-0.3862777777777777
swi28,0.41346153846153844,-0.2027449046679817
swi29,0.5802469135802469,-1.2433127572016462
swi30,0.5357142857142857,-1.0459183673469385
