,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
swi01,0.845500036794466,0.9345490158892562,0.1494477956400711
swi02,0.7911805241324045,0.692388685356738,0.180030045773817
swi03,0.7704739734119437,0.9095394150128592,0.1147619685258642
swi04,0.901559896244732,0.9565724284754368,0.2022874306002847
swi05,0.9934856684706354,0.9855484363862604,0.3715248936159307
swi06,0.8244291033446793,0.5439457493302897,0.5478585514504963
swi07,0.917729188692318,0.9179987475474096,0.2825297262120433
swi08,0.8693552755617463,0.8879886084676927,0.310821391407299
swi09,0.8264704872368233,0.8696029647119753,0.2168034023004911
swi10,0.7987654635592436,0.7115430356546513,0.3581823903937601
swi11,0.8571277471141232,0.9203043568022604,0.1571732571805631
swi12,0.7816021214850395,0.6212482957165508,0.0685325133536674
swi13,0.7623800849981219,0.593115254066556,0.42285323506606
swi14,0.8090450339115212,0.8417109917160082,0.3401958439600754
swi15,0.8117437410578447,0.9261933698808754,0.1528988893749989
swi16,0.85718339295256,0.8658488147994572,0.278840393634768
swi17,0.9905765537913916,0.9972018588006912,0.6897696156493698
swi18,0.9316611595073596,0.341313024932035,0.1354456627076871
swi19,0.8927409077025161,0.8146074267332104,0.1349950864796495
swi20,0.799518727069841,0.6982450615071132,0.1805083920979652
swi21,0.7799616552106591,0.7810489535538668,0.1464695457449142
swi22,0.8626474227633825,0.9212711053223112,0.2194949872578997
swi23,0.8638283822155979,0.9021449050779224,0.5088610042917919
swi24,0.6902484175987408,0.8219082972039895,0.1244139497427857
swi25,0.981496271142728,0.9977537605559386,0.4320284411515687
swi26,0.8333409159152328,0.8616876707480331,0.083629156618579
swi27,0.8129231232134798,0.8939098387035631,0.2503397930166852
swi28,0.8157921518317589,0.6568916874322125,0.5520118871565854
swi29,0.6900494300413599,0.9547748066084808,0.0820198955793856
swi30,0.7556041120551289,0.6648478191994097,0.3139069699306578
