,auc_roc,auc_prgs
awt01,0.5603174603174603,0.17720373317833743
awt02,0.8967734393266308,0.8805680841230695
awt03,0.5199175824175825,-0.007227794295032517
awt04,0.44050394050394054,-0.12541806410153145
awt05,0.7596846846846848,0.7282788211027954
awt06,0.7213888888888889,0.4784467414124773
awt07,0.5774170274170274,0.2180930890323569
awt08,0.9356430155210642,0.9161828155673082
awt09,0.6136860264519839,0.620343703491329
awt10,0.6448317307692307,0.3158312520479909
awt11,0.5573964497041419,0.10352485642914477
awt12,0.8121645796064401,0.3452286122750377
awt13,0.7215431627196334,0.5100412087854203
awt14,0.799982853223594,0.7659828771959759
awt15,0.8083293036750484,0.5463834795159443
awt16,0.7285083248386002,0.6375226784214518
awt17,0.7787487335359675,0.6827696092692103
awt18,0.6410256410256411,0.28928580994175807
awt19,0.6740209597352455,0.5011427935312144
awt20,0.5828869047619047,0.1673312536321245
awt21,0.7113970588235294,0.7496921746863685
awt22,0.6613756613756614,0.3947026222109083
awt23,0.7283163265306122,0.47456153023686914
awt24,0.5410628019323671,0.25920775393728834
awt25,0.6275917065390749,0.1243948384980878
awt26,0.7704761904761904,0.6764682434304187
awt27,0.8003341687552213,0.8523821577866465
awt28,0.779320987654321,0.9130540940334467
awt29,0.6989898989898989,0.5556779579407582
awt30,0.4489144316730524,-0.14485074540485748
awt31,0.7204301075268816,0.34956665892327154
awt32,0.7018633540372671,0.4171477879612311
awt33,0.78328173374613,0.6022655357230177
awt34,0.8792735042735044,0.7214168098371981
awt35,0.7567567567567568,0.49800536958951247
awt36,0.5121951219512195,0.05711510364390736
awt37,0.7958984375,0.5619607748575653
awt38,0.854945054945055,0.8728481819452192
awt39,0.6736842105263158,0.5782039964345722
awt40,0.8182441700960219,0.7343151713153989
