,auc_roc,auc_prgs
can01,0.8511487412356595,0.8998171772267932
can02,0.7173898364123387,0.5214620255427843
can03,0.6106047272428268,0.27769885695382673
can04,0.70324235287116,0.5971007749781881
can05,0.6414252467862761,0.44133162122033487
can06,0.8697990824236672,0.24517525892429373
can07,0.6509082031250001,0.3071416876996121
can08,0.549475408309142,0.12095494564761995
can09,0.7333187392845497,0.8750955183460067
can10,0.7164306670165526,0.3748362938130753
can11,0.5975055236427127,0.2067085120606168
can12,0.8165025724035072,0.7646497525618515
can13,0.43407383454495707,0.05227385993030165
can14,0.6764489065818553,-0.7780565594623503
can15,0.6829096560052101,0.4460510470577182
can16,0.8283098374585696,0.8750900373022631
can17,0.7443066848782183,0.6004647201902881
can18,0.7746321446632172,0.676409177373875
can19,0.5482256401443547,-14.92976126157171
can20,0.7843425287426573,0.7540176997089069
