,auc_roc,auc_prgs
nsw01,0.7067367893814175,0.5705135721170816
nsw02,0.6130165824588678,0.37830331871893286
nsw03,0.6673550163483049,0.434882935418022
nsw04,0.8358024691358024,0.5085944101473924
nsw05,0.5733205090263391,-0.10537537328080211
nsw06,0.4542019543973941,-0.12592731418771724
nsw07,0.7368126747437093,0.7590808358548689
nsw08,0.7521697203471553,0.4643450150425056
nsw09,0.629434076771355,0.3841887352271524
nsw10,0.9636363636363636,0.7945517661321898
nsw11,0.5569620253164557,0.45781074472007915
nsw12,0.7204414587332054,0.524325387696272
nsw13,0.7012476894639557,-0.12327361027339657
nsw14,0.7609646801453724,0.5385345746988549
nsw15,0.7728935391944197,0.7029760596009337
nsw16,0.6425030117690669,0.3166087865075731
nsw17,0.5496503878509779,-0.1339203682326898
nsw18,0.6077053173827368,0.3512940206044212
nsw19,0.9579991087344029,0.5808333077155332
nsw20,0.8927732539931099,0.944066480338237
nsw21,0.8144596733095513,0.7488368529877979
nsw22,0.3750413223140496,0.049614422893586724
nsw23,0.720913984791151,0.5282078234860824
nsw24,0.6484807240202923,0.05710624207554743
nsw25,0.5826997215677876,0.03657872314455768
nsw26,0.6017391304347826,-0.43641100142360356
nsw27,0.5287685616309067,0.08645184932017062
nsw28,0.6362465591450488,0.3251779763662521
nsw29,0.7293565119865415,0.7381232919599927
nsw30,0.613571502125719,0.23261319935277933
nsw31,0.5739149955103262,0.127883711548583
nsw32,0.5207319770013268,0.805766000148421
nsw33,0.5782862099400432,0.1677840350631118
nsw34,0.5381903044755285,0.0999239753134355
nsw35,0.33768115942028987,-3.144995522934469
nsw36,0.6971488665576069,0.9223429640270507
nsw37,0.533083993896766,0.11653490213942526
nsw38,0.41031022627328695,-0.614510597745224
nsw39,0.5854545235673313,0.20488292434031347
nsw40,0.6910694510362284,0.45362857162418807
nsw41,0.4511531353636617,-0.17504277509814495
nsw42,0.3314500941619586,-53.630728268936124
nsw43,0.5909609533468559,0.2751163305244885
nsw44,0.9820489012689569,0.9983894880228067
nsw45,0.6221929280397023,0.4313725543305058
nsw46,0.9709114414996768,0.9992616452560882
nsw47,0.8895291201982652,0.7532957732392003
nsw48,0.853014098201264,0.9329208336421474
nsw49,0.67470365758037,0.41839261900748015
nsw50,0.7858409695536506,0.5408111054078202
nsw51,0.7374055415617129,0.7418596019262859
nsw52,0.7756350638145288,0.6938988078792836
nsw53,0.633405519462491,-0.46272160821962893
nsw54,0.5831608005521048,-0.5187320757795292
