,auc_roc,auc_prgs
nz01,0.7295880256593015,-2.40938678314409
nz02,0.8181809517085262,0.7009263783824216
nz03,0.593030695650783,0.2964686537266474
nz04,0.8429072655220637,0.7772722429802928
nz05,0.6922366067999712,0.5117054151631409
nz06,0.7138574246266555,0.45070863436018943
nz07,0.6751343613690466,-4.172173810908383
nz08,0.8185417886029654,0.8257850475361594
nz09,0.7249854302725891,0.7485380512863312
nz10,0.7934194599437143,0.8778957973556439
nz11,0.8927300487479899,0.8935767599298439
nz12,0.4584084266659656,-0.23421815865521886
nz13,0.7459099631579916,0.5186392490654218
nz14,0.4541618907728586,-0.12945791079917524
nz15,0.82132207752756,-3.4633307787864975
nz16,0.6550068922627449,0.646131719207927
nz17,0.7273366657420124,0.5141887978953079
nz18,0.9596567726743341,0.9616736496893735
nz19,0.6181580177953958,0.08384914405032484
nz20,0.9430666024453376,0.9055237419921547
nz21,0.6937508806188444,0.7309484943902935
nz22,0.7492363234073067,0.17837194238355172
nz23,0.5285871015525309,-0.0018300799568386078
nz24,0.8413900091419791,0.9980361773308707
nz25,0.8817907245324254,0.8933576199281378
nz26,0.8649051229973982,0.9737379536330021
nz27,0.6523379500586488,0.45776226412070964
nz28,0.8328144238338413,0.48731670687979783
nz29,0.6025390873809092,0.379882367015205
nz30,0.7484336376150035,0.547557941515005
nz31,0.8187631620486404,-4.546029195440051
nz32,0.6084524143728706,0.012721247390289571
nz33,0.8185285961938465,0.6486807536122803
nz34,0.5521484530596555,0.47206568632428375
nz35,0.7554047907283518,0.5335038898665571
nz36,0.4432456195872501,-0.19441153923968396
nz37,0.5325510955218663,0.08189533998820323
nz38,0.7917484342737168,0.7419413594804408
nz39,0.6725964245956388,-9.216350585741237
nz40,0.5254444078763895,-0.07056296629168357
nz41,0.9764355673480084,0.7788056182236187
nz42,0.4550920031452016,-0.12747091547037975
nz43,0.573762201912998,-3.040415180080405
nz44,0.7663954122008109,0.5172534096268077
nz45,0.8971622608926674,0.9604583429153422
nz46,0.8998102218441202,-3.3421801513062075
nz47,0.7554650008470035,0.6312193272573287
nz48,0.6460560019464944,0.42628722192047097
nz49,0.9235177572045911,0.98824123491494
nz50,0.7604996236037128,0.700599779641491
nz51,0.8149780211638905,0.7507813756284911
nz52,0.8952843668432303,0.9088057328351888
