,auc_roc,auc_prgs
sa01,0.5504504504504504,0.33214245097378237
sa02,0.524251805985552,0.45619859272988444
sa03,0.8884711779448621,0.8211881937421528
sa04,0.9535398230088495,0.919009576942741
sa05,0.7521739130434782,-0.31923831127914293
sa06,0.855072463768116,0.8040395715185886
sa07,0.8333333333333333,0.8866870132812539
sa08,0.9749373433583959,0.8364719669544233
sa09,0.8484513274336284,0.9715877082553074
sa10,0.5971606033717836,0.2806058437394168
sa11,0.8376811594202898,0.9683531190926277
sa12,0.8783783783783784,0.9149180932070965
sa13,0.8709273182957393,0.8991864575547054
sa14,0.7799145299145299,0.5584664491359649
sa15,0.5443425076452599,0.2080123484680854
sa16,0.7753623188405797,0.7912365469439194
sa17,0.8482142857142856,0.6549251538213606
sa18,0.725634178905207,0.5972485619852523
sa19,0.7190265486725663,0.7420301603816927
sa20,0.8738738738738738,0.9253075073091519
sa21,0.6009009009009009,-0.08761961206369887
sa22,0.9070796460176992,0.5442009843851918
sa23,0.8653846153846154,-0.20869250249592147
sa24,0.8666666666666667,0.9062077110377297
sa25,0.5586206896551724,-1.0446293578246797
sa26,0.4683168316831683,-0.2602084853624778
sa27,0.9115942028985508,0.8925933207309389
sa28,0.7390873015873016,0.6473647160521043
sa29,0.7609126984126984,0.7830576596005642
sa30,0.7173913043478262,0.36591858853182113
