,auc_roc,auc_prgs
swi01,0.7429666130565957,0.8875047842259932
swi02,0.7636123854020274,0.7968640806247661
swi03,0.8301679477251919,0.943286485073845
swi04,0.8791939135275562,0.9327434255811214
swi05,0.9484594188376755,0.9994429922196708
swi06,0.8097485068783462,0.5316540548201252
swi07,0.8947648734996978,0.871891163125769
swi08,0.8496746470048337,0.9175113683523737
swi09,0.7578484735000979,0.8026164960071831
swi10,0.7838422638159634,0.6628555742456532
swi11,0.8255182959041123,0.8769019692939928
swi12,0.6342022141606204,0.335526549033663
swi13,0.7545928348013541,0.5999379504438777
swi14,0.8055063291139242,0.8152413870334004
swi15,0.8273102115746584,0.92173042083342
swi16,0.8409730351465773,0.8544218124780891
swi17,0.9790085022943297,0.9951741177229975
swi18,0.8730162703379225,-0.4612704357638408
swi19,0.9471419637273295,0.9317702176853632
swi20,0.7444220743164955,0.3248121029632168
swi21,0.7351900811377519,0.692526439643895
swi22,0.8139964271780866,0.8833873955305053
swi23,0.8065681066555397,0.8406646875917411
swi24,0.6119751659173625,0.6053136021830006
swi25,0.9684493202315252,0.9809724258826897
swi26,0.8880445551697271,0.9994922853436057
swi27,0.7816252820147911,0.8703350965303351
swi28,0.8132338208180405,0.6784255782285412
swi29,0.6705737704918033,0.9288904292443544
swi30,0.7256926861028721,0.6225949852709565
