,auc_roc,auc_prgs
awt01,0.5195476858345021,-0.02800304612936793
awt02,0.87225937183384,0.8613991546290247
awt03,0.5313567728424997,0.05812283235652143
awt04,0.4126095423563778,-0.1360246427219221
awt05,0.7442451528574541,0.643238359808651
awt06,0.6566006081577016,0.30806731626350453
awt07,0.586014586014586,0.29008755788360774
awt08,0.9184495343569091,0.9076291994471418
awt09,0.3525584146702159,-1.0919924428001526
awt10,0.5594002306805075,0.2312049575609019
awt11,0.676076217360621,0.6061423738526067
awt12,0.7771990740740741,0.31846437588265536
awt13,0.7432031636183886,0.5932065381306945
awt14,0.9344895104895105,0.9554414301672748
awt15,0.8426791277258567,0.6363380925159167
awt16,0.762115036231884,0.7045018581461024
awt17,0.8229896358199172,0.762538266670304
awt18,0.6956599906511811,0.4532340805955456
awt19,0.7140511775362319,0.5381685134223545
awt20,0.5605769230769231,0.08488504649453678
awt21,0.7414634146341463,0.516252953202676
awt22,0.7509881422924901,0.5335496864219208
awt23,0.53719723183391,0.14525266197888392
awt24,0.39209876543209876,-0.2664510312969577
awt25,0.6875,0.395850983376585
awt26,0.7645348837209303,0.5507801578846446
awt27,0.717037037037037,0.5653148337636565
awt28,0.8839285714285715,0.7182541131020795
awt29,0.5287356321839081,-0.09891565618640268
awt30,0.5221783047870004,0.12005983775673988
awt31,0.5669354838709678,0.0481378087846395
awt32,0.658307210031348,0.3229534247016016
awt33,0.6885683760683761,0.40801342883705394
awt34,0.7716475095785441,0.7971196661739658
awt35,0.7769230769230769,0.5556885719625471
awt36,0.43829296424452135,-0.002645826127632998
awt37,0.8253968253968255,0.710987713520402
awt38,0.7906976744186047,0.6963289530226867
awt39,0.7370535714285715,0.6503334263130471
awt40,0.7663592446201142,0.5878862989103363
