,auc_roc,auc_prgs
awt01,0.6700561009817672,0.4419455153707345
awt02,0.9213779128672746,0.8984827558609159
awt03,0.5294830816708918,0.049837213088360095
awt04,0.4052371678953957,-0.17903705500546682
awt05,0.5712729649262943,0.3337196215574782
awt06,0.7615951906609346,0.5289432549005039
awt07,0.6369703036369703,0.4018233260193144
awt08,0.6169501276473338,0.2536046651985658
awt09,0.36793847973972194,-1.0428465166385181
awt10,0.46420332839017964,-0.17822227901886814
awt11,0.6043283933192191,0.5686560856302905
awt12,0.1417824074074074,-6.400899091684068
awt13,0.7528835063437139,0.6308034289915939
awt14,0.13946853146853147,-1.7300504633584262
awt15,0.3149384364337635,-0.20187729969757479
awt16,0.3662817028985507,-0.38216110890041105
awt17,0.8369587481053623,0.7821816991272005
awt18,0.6879292366329869,0.42666089866824597
awt19,0.7206748188405797,0.5528495267841947
awt20,0.6784615384615384,0.32882286531062344
awt21,0.3408536585365854,-0.7231371594811893
awt22,0.6807202459376372,0.4031653753788967
awt23,0.6003460207612457,0.32529519563813974
awt24,0.28592592592592586,-0.725297029581696
awt25,0.4481837606837607,-0.1264270060607944
awt26,0.7725290697674418,0.6278763227592951
awt27,0.748641975308642,0.550716763081491
awt28,0.5827922077922078,-0.0768351694633046
awt29,0.6842911877394635,0.44330744637466
awt30,0.7114624505928854,0.45146770511901835
awt31,0.7016129032258065,0.4408725691337801
awt32,0.6532131661442006,0.2350255236521053
awt33,0.41239316239316237,-0.13852671222901522
awt34,0.8252873563218392,0.7952040302065129
awt35,0.6519230769230768,0.348382768724264
awt36,0.4971164936562861,0.02252138856436299
awt37,0.702527924750147,0.47345253502788937
awt38,0.42151162790697677,-0.5388406427791896
awt39,0.7491071428571429,0.6377951371169138
awt40,0.7918313570487483,0.6427321266151924
