,auc_roc,auc_prgs
can01,0.8086924688412367,0.8593658809466199
can02,0.7144127863322359,0.4969309358915299
can03,0.6411892191403524,0.469858844220016
can04,0.473852847671076,0.2353374882477129
can05,0.663939550525994,0.6254043639796405
can06,0.8810006836016189,0.7924422911337792
can07,0.6768860094818796,0.600019626910496
can08,0.53690503653059,0.11969565291651248
can09,0.7093915956711165,0.85731734778534
can10,0.7034241975788738,0.34312309904083005
can11,0.6083600220578023,0.2361533742320305
can12,0.823440534641491,0.7355858019466548
can13,0.5008821019011825,0.05937776822608972
can14,0.781943670171477,0.773627848022807
can15,0.6713577740779606,0.37211836300060724
can16,0.6970899617722407,0.5467510395319183
can17,0.746278957800636,0.660152633170513
can18,0.7568481751154307,0.6844687876619354
can19,0.6981379322197017,-13.702037848791178
can20,0.7773972950407771,0.6035187166448658
