,auc_roc,auc_prgs
can01,0.7513503394038982,0.6063700090897184
can02,0.7082308206490449,0.48158533086949906
can03,0.6528110910388171,0.3548906260868205
can04,0.8132869896029795,0.7750825329768433
can05,0.6232556507210617,0.5439299898237573
can06,0.8456847322906893,0.932134422156968
can07,0.6583593707487513,0.3180231742976419
can08,0.5349093161036608,0.0851058698430745
can09,0.632969328559798,0.6440603327698082
can10,0.68787033436314,0.29735692682664083
can11,0.5937957628008932,0.19759554722774314
can12,0.8102676799006234,0.6998112628067156
can13,0.4858049984954953,-0.017778605139632742
can14,0.8506059029002894,0.8495395080587604
can15,0.6519379184662715,0.3898562382570237
can16,0.7928981170275586,0.8379930086415451
can17,0.7396507866390483,0.6159348608038214
can18,0.8072792167774707,0.7653830987935634
can19,0.6911891913567516,-8.543297762378153
can20,0.7897958435145771,0.6930752077719343
