,auc_roc,auc_prgs
can01,0.7241574021579964,0.8685869725176321
can02,0.30150409746531254,-0.9520588722480574
can03,0.660008909445325,0.5455335486247989
can04,0.7921711001780567,0.7047247802204263
can05,0.5943112127358146,0.26803541717685786
can06,0.2074984339544664,-38.568908042922175
can07,0.40268724265774414,-1.5734555816183748
can08,0.5246023242065762,0.06823879944382676
can09,0.4367137547987996,-2.4289464198706003
can10,0.32212878345971874,-2.327441775188012
can11,0.6012532265308439,0.2087198065504791
can12,0.7901354132060572,0.662656645742317
can13,0.4477074495597603,0.17656656575259422
can14,0.858240155952297,0.9182180523902425
can15,0.30881338462177166,-0.8037361278925922
can16,0.800886098148995,0.7046123096740466
can17,0.738762319041466,0.6471723694010877
can18,0.2038462839099651,-2.9659833709716805
can19,0.7350470314612405,-5.4090850487479445
can20,0.777696940035142,0.7056146309654465
