,auc_roc,auc_prgs
nsw01,0.6650185185185185,0.36186017680245797
nsw02,0.6054700396170354,0.0971238365371544
nsw03,0.7039639170786712,0.600886027391429
nsw04,0.8573775388291517,0.9088574722966057
nsw05,0.5746698113207547,0.1826426472527101
nsw06,0.46271993778555454,-0.11207314612252164
nsw07,0.6761579675077775,0.6225907776910564
nsw08,0.8626099706744867,0.8564647264829993
nsw09,0.639335064935065,0.5077077394108127
nsw10,0.9765325670498084,0.8289754880103053
nsw11,0.7172690144101102,0.2876136542679968
nsw12,0.6998628257887517,0.7039456827585162
nsw13,0.783751846381093,0.7189462491084693
nsw14,0.8023558856959162,0.5839251181314594
nsw15,0.8166027774267379,0.7713607763379563
nsw16,0.6541416330148724,0.34601420483570056
nsw17,0.6346378421487368,0.36392702173928576
nsw18,0.711248262440923,0.5023475572532021
nsw19,0.9611962649753348,0.26398304352661317
nsw20,0.9145293477972576,0.9488187951462205
nsw21,0.7777807259605181,0.333285176556166
nsw22,0.9230744336569578,0.6203941304069421
nsw23,0.8152964994775339,0.69728332608047
nsw24,0.6811958246154552,0.07774833108767949
nsw25,0.6961915169175975,0.08156867561472007
nsw26,0.6750054860653939,-10.423562792606539
nsw27,0.5314606741573034,0.08604640576299136
nsw28,0.7221930873588456,0.5146622731000593
nsw29,0.812032016524658,0.9313051038216422
nsw30,0.6286894923258559,0.2561561936965748
nsw31,0.5230105890262579,0.0759189776395556
nsw32,0.555237691601328,-0.13715058709638392
nsw33,0.48697189651963524,-0.05551635121100144
nsw34,0.5320949877900654,0.10058289801490441
nsw35,0.44461185494640953,-0.14780073709031702
nsw36,0.6371290221805684,0.8112337085280765
nsw37,0.5528732227488152,0.23407198583758806
nsw38,0.48772190264118265,-0.8013518818596416
nsw39,0.5203488823648197,0.011234915615518929
nsw40,0.5886900671897566,0.18688364722909392
nsw41,0.5378532147894578,0.1186947829520097
nsw42,0.8729281767955802,-1.148163721091135
nsw43,0.5839078616856395,0.23568097470999996
nsw44,0.9777777777777777,0.9992771701388888
nsw45,0.768811443824132,0.7853873811087237
nsw46,0.9758698092031426,0.9994245411348067
nsw47,0.8951120162932791,0.8452687837074594
nsw48,0.8526245731813183,0.9352243099019548
nsw49,0.6746690551586491,0.4323461185571531
nsw50,0.7846287451150673,0.723226663451343
nsw51,0.5331004657351963,-3.8179706455352767
nsw52,0.7860455084654372,0.7471460682799163
nsw53,0.8397326990599161,0.9360180862945575
nsw54,0.5007344414379591,0.5300694654207855
