,auc_roc,auc_prgs
nsw01,0.5221111111111111,0.16998788376783353
nsw02,0.667536728293166,0.4730410905835137
nsw03,0.5995316159250585,0.7753950394670447
nsw04,0.79778972520908,0.8961185786068704
nsw05,0.564433962264151,0.2577260173495856
nsw06,0.4730658667666542,-0.10263451314442616
nsw07,0.5535343933632907,0.4966479980357965
nsw08,0.8659824046920821,0.9067656968532629
nsw09,0.6187844155844155,0.051443156133254245
nsw10,0.9779693486590039,0.9989282352358304
nsw11,0.8001078831779302,0.5436703240409982
nsw12,0.7237860082304526,0.7122215682800389
nsw13,0.7554505169867061,0.6950192090184939
nsw14,0.7684182730393451,0.5150371957215146
nsw15,0.7906820000842496,0.7357219710930957
nsw16,0.5941523265466928,0.303675876013781
nsw17,0.5710216753538978,0.008515830660028563
nsw18,0.7603197108701696,0.5848299837330336
nsw19,0.943093727977449,0.860388453103131
nsw20,0.8869851205474366,0.7080085435719301
nsw21,0.8129731833297955,0.8616243016646585
nsw22,0.9051132686084142,0.6576775835917663
nsw23,0.7308294148380354,0.5874855934113656
nsw24,0.6185909226772124,0.2581827131058053
nsw25,0.5803181155900923,0.044498969886856345
nsw26,0.5837173579109063,-8.053587837937043
nsw27,0.5489726383687058,0.09635795745225645
nsw28,0.7429533112452948,0.5442597746879607
nsw29,0.8277820810741028,0.32464202744469767
nsw30,0.48409770244185824,-0.008108136740126632
nsw31,0.5589469801665857,0.1279624008594627
nsw32,0.6089213816486544,-2.348913899575847
nsw33,0.5184340317572267,0.06439263414245543
nsw34,0.5200289483373751,0.000746609334620537
nsw35,0.7301647091052289,0.9167896836831576
nsw36,0.8947516401124648,0.9334693918073292
nsw37,0.5556254936808847,0.19492184669406473
nsw38,0.3952990659986392,-0.5661724099547991
nsw39,0.5341853456979978,0.08516849871088433
nsw40,0.4079895327164329,-0.22469746439772256
nsw41,0.5727903770265773,0.22144596847115156
nsw42,0.42734806629834254,-26.752899348480067
nsw43,0.38594944150499705,-0.3407502625061834
nsw44,0.9819753086419754,0.9995992538265306
nsw45,0.6967424199703002,0.645912538138789
nsw46,0.9530490086045642,0.9986032474755407
nsw47,0.8607237975873414,0.5943721240810816
nsw48,0.8101741998958273,0.8198919263158362
nsw49,0.583027131482252,0.19294676146848233
nsw50,0.8067255270902687,0.31735802284151327
nsw51,0.47787757817697935,-6.773301958956338
nsw52,0.7587188612099645,0.6323897455004986
nsw53,0.8096802204855211,0.950864153150112
nsw54,0.4113645148821028,0.39356177823041516
