,auc_roc,auc_prgs
nz01,0.8929191675334218,0.043993083964372355
nz02,0.7913799748358267,0.6738815200377457
nz03,0.6392639746306087,-0.04512798348045372
nz04,0.8767304514789236,0.7803820202279932
nz05,0.7161858950053435,0.5495124681022003
nz06,0.6699740114056496,0.40412927771230284
nz07,0.6826449313345213,-2.2853529067012146
nz08,0.8115376699240064,0.7796099276041021
nz09,0.720168717966803,0.8706318046826896
nz10,0.5863068452595236,0.19818884117780586
nz11,0.8586743701133408,0.7767505961715694
nz12,0.5719932857950077,0.2738351638901655
nz13,0.7314070662829016,0.5177202082807708
nz14,0.4085271970340265,-0.2527877315231529
nz15,0.8192928894068245,-9.099245948544487
nz16,0.5127965673361736,-0.21782609365976022
nz17,0.7587900467484833,0.6314329041993467
nz18,0.9611943821053408,0.9697495057925275
nz19,0.5981724890829694,-0.5603339381069201
nz20,0.9440111120219694,0.9559162660357028
nz21,0.6859164633105126,0.6528162136943446
nz22,0.6827968733500123,0.7162839294122084
nz23,0.5589539340068899,0.09567183446339794
nz24,0.7579109828611402,-0.12144186376201345
nz25,0.8968561643692775,0.8744723019674084
nz26,0.8962065601582229,0.8823980530822152
nz27,0.6157853539886208,0.5987521476594595
nz28,0.7057615751464984,0.9822275141292343
nz29,0.675136149840991,0.4784872150365916
nz30,0.8215390253786361,0.6883610452402628
nz31,0.9233429319371727,-1.1816241390996018
nz32,0.6521842272788043,0.42549642435562757
nz33,0.7959853265701113,0.7822799239762126
nz34,0.58812520881772,0.26432289090424704
nz35,0.7655611257847837,0.5387753225545775
nz36,0.4781174272944108,-0.07209810541644156
nz37,0.5523917551046063,0.1126523055515755
nz38,0.8374393206942004,0.8966377551747844
nz39,0.6532401078951088,0.5724048111656284
nz40,0.5499655331437195,-1.080556007443443
nz41,0.9903681865828092,0.9993939755853803
nz42,0.5459804716636139,0.09040027358326716
nz43,0.6331457747445146,-1.407648733378458
nz44,0.8406434492885316,0.6790330493397653
nz45,0.8940440485767635,0.9623445865359352
nz46,0.8702172526394958,0.4742125957523845
nz47,0.7490720099453542,0.564255456189405
nz48,0.6268648396077362,0.6112445614880397
nz49,0.9243918926033167,0.9950835341265001
nz50,0.7026140707961502,0.7596495281567286
nz51,0.6874615277523692,0.565316927654169
nz52,0.9001550918006614,0.9356802299915122
