,auc_roc,auc_prgs
nz01,0.9037830281401186,0.4492359457648323
nz02,0.5605153291058637,0.12620859217557587
nz03,0.5755568508741328,0.7780762583121243
nz04,0.8968681857162745,0.8711444537924431
nz05,0.60753988047078,0.3215682968740592
nz06,0.7863365604992723,0.580621963090065
nz07,0.7481841462866727,-6.281782414100856
nz08,0.7897382886486604,0.8477817779266356
nz09,0.6920588529176659,0.8524700150044084
nz10,0.6493849567060607,0.7237868959231162
nz11,0.8689015267747859,0.8405204915012701
nz12,0.581081365391574,0.29124442459370137
nz13,0.6137631502106536,0.4526683580320486
nz14,0.336746071318316,-0.4290851311926795
nz15,0.8003860974938978,-11.727047165413731
nz16,0.5759229303134298,0.6704438980594113
nz17,0.45006744598666826,-0.14398545572053426
nz18,0.9492529316939027,0.9704158445549161
nz19,0.6406855212882097,0.4578749955926304
nz20,0.940047753716499,0.9104616288115072
nz21,0.7548553366468107,0.8358282625069716
nz22,0.7536274036320615,0.6710289853770346
nz23,0.33181246146466603,-0.9773407463477072
nz24,0.7111157747464149,0.8098665393438913
nz25,0.7914919380907364,0.830131875132609
nz26,0.8911195714383625,0.9757751539339552
nz27,0.6679929014321029,0.45480568598025156
nz28,0.7103663012858696,-2.887908524792684
nz29,0.6119388156701708,0.4287256961667636
nz30,0.5681796766568666,0.22575561295451232
nz31,0.7527617801047121,-19.95035060580644
nz32,0.6951806718711238,0.6783867850235065
nz33,0.7894078927111738,0.4526499345681389
nz34,0.5613091344578558,0.0912295317857111
nz35,0.7076380392641117,0.39232638116802737
nz36,0.5171887030178113,0.05332743754595551
nz37,0.4748650656256941,-0.1410712988239198
nz38,0.7222465217848981,0.7598499015819455
nz39,0.5758290189578501,-3.0510478402743346
nz40,0.3505209643104784,-2.869335232265174
nz41,0.9822530136268344,0.9743926843306608
nz42,0.67555982143864,0.4411698515485912
nz43,0.64757354442227,-3.7568940004669966
nz44,0.7948030210246991,0.5269359420015912
nz45,0.8892717987175963,0.9663849797558445
nz46,0.9054874856005865,0.2932350918349656
nz47,0.7965247374612145,0.6472479728532905
nz48,0.6298372239425314,0.7249644128541441
nz49,0.9264324295867334,0.9949702395578867
nz50,0.735967291516461,0.67156977226738
nz51,0.6238487569413044,-1.0094233910671837
nz52,0.9028213023149733,0.9235278620448045
