,auc_roc,auc_prgs
nz01,0.8929191675334218,0.043993083964372355
nz02,0.2861049663711339,-0.6679588711597515
nz03,0.49749594766002814,-0.08795227100073026
nz04,0.8857733858166285,0.7920176770699036
nz05,0.6095940863355801,0.34565356432474575
nz06,0.5069272637612658,-1.2581919731546651
nz07,0.7506427248538581,-4.553488320297146
nz08,0.22036008771685228,-2.0295919343032014
nz09,0.6243919080421937,-0.07333618028613259
nz10,0.21159278047204194,-3.12006373279782
nz11,0.8901191577343708,0.8258457881405095
nz12,0.5248172942687475,0.17896306331569287
nz13,0.5687770297139839,-0.34443261858697505
nz14,0.34347086595137977,-0.3011872127272544
nz15,0.8291518589502813,-7.744936505546479
nz16,0.4826937058790908,-0.5524160463469119
nz17,0.6887854591369703,0.47858982566389585
nz18,0.9416436450990927,0.9323656404379266
nz19,0.33117712882096073,-1.953102259780788
nz20,0.8229797414984026,0.5441371572693275
nz21,0.6028728513101559,-0.0968717609904259
nz22,0.7790429121001178,0.5387998542556575
nz23,0.42147578184186507,-0.681304151851245
nz24,0.685705666316894,-4.30646851679484
nz25,0.2259749374324891,-10.15426278492791
nz26,0.8854615885121128,0.4778556821289194
nz27,0.43215115696966877,-1.4262598728423208
nz28,0.4636973676302891,0.13160294509422935
nz29,0.5288310773270676,-0.1657247098813991
nz30,0.7038228730310521,0.49674091445056556
nz31,0.4789450261780105,-167.329564492691
nz32,0.47933899908946576,-0.20564378730468733
nz33,0.8074484811201529,0.621183312127554
nz34,0.5012269111582114,-1.4585028925534378
nz35,0.5878995586542504,0.1776164518437426
nz36,0.5423021103526453,0.07982828485469781
nz37,0.4896737330257768,-0.23762132938515312
nz38,0.7851823752300423,0.6738045571605453
nz39,0.7141859206091407,-0.2836251734460512
nz40,0.7819987263116039,0.7221554213015495
nz41,0.9719693396226413,0.8356584493392561
nz42,0.2754492951143718,-0.5430718734007551
nz43,0.668213169781054,-2.0423113440097564
nz44,0.6529827241460294,0.23410042075118875
nz45,0.8535826254621088,0.9223819228673884
nz46,0.8730138329572826,-2.6684402904120197
nz47,0.8160952615192173,0.667472720061765
nz48,0.6018520660892376,0.4617910926121726
nz49,0.09173445643590417,-10.97955555449218
nz50,0.28909113186945246,-2.083716241459882
nz51,0.7194519327498399,-0.27455853388258034
nz52,0.876217089699449,0.7354944474646138
