,auc_roc,auc_prgs
sa01,0.5362530413625304,0.4596794158134806
sa02,0.5146612740141556,0.4004543193319147
sa03,0.7725694444444444,0.42855611894963747
sa04,0.9425019425019425,0.8036950629498705
sa05,0.8995073891625616,0.7260820093237452
sa06,0.8600985221674877,0.5955054451427816
sa07,0.8854166666666666,0.40419938551552315
sa08,0.9461805555555555,0.9248372106044064
sa09,0.7950704225352113,0.8035512138833948
sa10,0.423605270535464,-0.1993249288496007
sa11,0.5850694444444444,-0.533765589569161
sa12,0.808272506082725,0.8081168420716628
sa13,0.6045066045066045,-0.5324640891839318
sa14,0.858128078817734,0.5893095341902119
sa15,0.6832116788321169,0.6605528417442493
sa16,0.7546798029556651,0.75966007870449
sa17,0.8388136686009027,0.638777153160978
sa18,0.7708745548080729,0.7627697876442299
sa19,0.7940947940947941,0.38648654420975853
sa20,0.6535211267605634,0.5960547857218078
sa21,0.7066961815163254,0.5616232531980033
sa22,0.7988394584139267,0.7544902015476935
sa23,0.9027777777777778,0.9013282102964643
sa24,0.737186477644493,0.738272644152777
sa25,0.6891996891996892,0.19570718242796162
sa26,0.5674074074074074,0.2919536665936218
sa27,0.804972804972805,0.14084765776043245
sa28,0.6218309859154929,0.054669694927645215
sa29,0.7148407148407148,0.7677896494392498
sa30,0.8571428571428572,0.9526232527414454
