,auc_roc,auc_prgs
sa01,0.3669099756690998,-1.0139776318219247
sa02,0.6423997303673744,0.4646689072152738
sa03,0.40625,-2.991047458077881
sa04,0.25874125874125875,-2.8066649211317047
sa05,0.5684729064039409,-1.2833364909499274
sa06,0.3280788177339901,-2.826391546345054
sa07,0.5173611111111112,-2.9572817285350355
sa08,0.9574652777777777,0.9731486730494667
sa09,0.1943661971830986,-3.8498065282046756
sa10,0.38772077375946173,-0.5200889173972844
sa11,0.3116319444444444,-4.0511535581310705
sa12,0.8423357664233577,0.8597141509827257
sa13,0.4491064491064491,0.43119469812433103
sa14,0.3921182266009853,-3.511663688352867
sa15,0.4608272506082725,-0.32946213346128567
sa16,0.20591133004926107,-6.024126678368534
sa17,0.5370728562217923,-0.39089515662315416
sa18,0.6569054214483577,0.20008021782020116
sa19,0.6083916083916083,-0.359132520409993
sa20,0.39647887323943665,-1.697283759847257
sa21,0.5727725511898174,0.03933937563409752
sa22,0.8310767246937459,0.7211045726452935
sa23,0.6189236111111112,-0.801157424904118
sa24,0.7273718647764449,0.6749422568848545
sa25,0.6891996891996892,0.19444402524853316
sa26,0.5576296296296296,0.10432715187182581
sa27,0.3752913752913753,-3.1180055250416134
sa28,0.6450704225352113,0.5822339542821177
sa29,0.5112665112665113,-0.7719677789673419
sa30,0.8384236453201971,0.8703223533963723
