,auc_roc,auc_prgs
swi01,0.8507097558168277,0.9123239309118705
swi02,0.7859720144936047,0.775618421595341
swi03,0.6846103467120217,0.5278876876124371
swi04,0.8890270480539092,0.9660016736921717
swi05,0.9869770638261317,0.9549713372032413
swi06,0.8096796981413017,0.5229418691944417
swi07,0.9158330273895589,0.9042914986549265
swi08,0.869329004157697,0.8889965298779307
swi09,0.8323351317794381,0.8966110434205592
swi10,0.7998248277443187,0.7093833702623465
swi11,0.8502488025648789,0.9535461067572014
swi12,0.7241218853197237,0.9220027317465614
swi13,0.7900531460824401,0.6623849974988382
swi14,0.8092729591692385,0.8177257875628704
swi15,0.8050583704616909,0.8820243052583473
swi16,0.8599603591367452,0.8380978933706288
swi17,0.9889934897662873,0.9945787674205548
swi18,0.9286148916668591,0.5511067202259027
swi19,0.8744825842874145,-1.4076090875818101
swi20,0.7926482965301835,0.5764471507560043
swi21,0.7733005706113276,0.8285450113438058
swi22,0.8493809110226564,0.9266520297600129
swi23,0.8592419554163561,0.8907380905897846
swi24,0.6488635901756253,0.7238271519148002
swi25,0.9785286595456597,0.9933354934940819
swi26,0.8446101491342208,0.9990241500103388
swi27,0.8133412294183034,0.8647543541468395
swi28,0.828756015208594,0.6954960740320116
swi29,0.6894048219509735,0.9166039424080231
swi30,0.7391901302620734,0.6431051767708525
