,auc_roc,auc_prgs
swi01,0.7781199348643605,0.6242160240343324
swi02,0.7165809462292795,0.4892395244276257
swi03,0.7772176570720035,0.8912248319681371
swi04,0.8314911167620475,0.7582895537306454
swi05,0.9738596340520573,0.9996226106646283
swi06,0.793599673437619,0.5127159728581085
swi07,0.9111681899446171,0.9266319342730192
swi08,0.8669358881009666,0.9080849021356474
swi09,0.779263465284469,0.8541897881072555
swi10,0.7029525638848332,0.47295384165206866
swi11,0.8332760815730843,0.8195055064020014
swi12,0.6938356849794856,0.9218366374008211
swi13,0.6491270476519855,0.37386771935065327
swi14,0.7609475986931078,0.7898575855277152
swi15,0.7717115908462545,0.824802213464643
swi16,0.8219034194850899,0.8248625334777219
swi17,0.9801059836608522,0.9837534550530488
swi18,0.9442929654704962,-0.3542019188409135
swi19,0.9323383503786482,0.9454306317329884
swi20,0.7566753608410648,0.6623748127567546
swi21,0.7183644086657035,0.6981985630013912
swi22,0.7517837162329076,0.6999101674348298
swi23,0.8050952960450805,0.865963967362328
swi24,0.6525072699929424,0.5668090965488677
swi25,0.9572507468460529,0.9757664404283493
swi26,0.849914923431088,0.9990321462494783
swi27,0.74976370221482,0.8289445127656633
swi28,0.7856584244447655,0.6000081940721975
swi29,0.7009442146676083,0.9184333722319922
swi30,0.6595769658604299,0.4978890475707217
