,auc_roc,auc_prgs
swi01,0.8507097558168277,0.9123239309118705
swi02,0.7357303968470538,0.6538911147704279
swi03,0.8504842753206504,0.8960113669245332
swi04,0.83445828300999,0.6324749748246352
swi05,0.7907052658706297,-3.0652027186386017
swi06,0.32892683273031154,-0.09602263564281746
swi07,0.9209570105290665,0.9444332626266153
swi08,0.7278178114403501,0.41072184039555765
swi09,0.8013328094879311,0.8921832747899993
swi10,0.7048310664198401,0.5233450143290307
swi11,0.83201460210997,0.91794780132358
swi12,0.5511858300810567,0.21602325154503918
swi13,0.606269706319358,0.204200081554002
swi14,0.5903168545861753,0.28970438574204194
swi15,0.8067867464983011,0.852224966392418
swi16,0.8540118606726311,0.7990106353544576
swi17,0.6808630576018522,-0.9722141325512438
swi18,0.9508591938751146,0.06991406715066839
swi19,0.9398375867625838,0.999158718119038
swi20,0.7803155356538168,0.6559815096910293
swi21,0.382665765509391,-1.7517500264781034
swi22,0.7784916741279269,0.8979372967383135
swi23,0.7969943067649029,0.854241623672393
swi24,0.6444779461484741,0.4340649124649236
swi25,0.033351673150078455,-17.435366084589695
swi26,0.8369441588338596,0.9986063070495261
swi27,0.757457600628568,0.8688585604761686
swi28,0.7905475311028256,0.6294272527500879
swi29,0.6886976697266216,0.8928281303664122
swi30,0.695402638085854,0.5372019587567646
