,auc_roc,auc_prgs
awt01,0.6412605189340814,0.3526957502367639
awt02,0.8678419452887539,0.84587981436236
awt03,0.49623424813549366,-0.011087722220366464
awt04,0.4951662261788844,-0.0387200762697187
awt05,0.7220245443322926,0.47386805179367714
awt06,0.722868826675055,0.5001672545061485
awt07,0.5883025883025882,0.3374886733844811
awt08,0.9169752975441373,0.8861745824940761
awt09,0.6750961254066844,0.551862785569404
awt10,0.6520431702092602,0.2851444161523728
awt11,0.5210538696777229,0.14709150336543542
awt12,0.7272376543209877,0.6854061836032701
awt13,0.7515241390673917,0.5914784285342009
awt14,0.9114405594405595,0.9494876448630427
awt15,0.6988948227265983,0.31818882304913276
awt16,0.7876471920289855,0.7150424498991085
awt17,0.7913645487689975,0.7162807009492498
awt18,0.6394592067886808,0.26524147565213474
awt19,0.6688179347826086,0.49945405365841516
awt20,0.40870192307692316,-0.34610634264676327
awt21,0.701219512195122,0.45629950253580853
awt22,0.5573122529644268,0.18588697717748318
awt23,0.620674740484429,0.17250165947541268
awt24,0.43111111111111106,-0.28745244103919243
awt25,0.6655982905982906,0.41087422709995974
awt26,0.8001453488372093,0.799624869924578
awt27,0.68,0.4762805158183322
awt28,0.8823051948051948,0.9183108821948727
awt29,0.7019157088122605,0.7241005564625984
awt30,0.5766359244620115,0.1477795123148397
awt31,0.669758064516129,0.24353636920738295
awt32,0.6543887147335423,0.29161940678314724
awt33,0.6549145299145299,0.31960800170268006
awt34,0.8934865900383142,0.8947361633795073
awt35,0.7646153846153847,0.5598319261262807
awt36,0.5255670895809305,0.1183146131406425
awt37,0.794238683127572,0.6081080038066622
awt38,0.8655523255813953,0.6683432677048511
awt39,0.5147321428571429,-0.06379560852153647
awt40,0.761528326745718,0.6556574603449195
