,auc_roc,auc_prgs
awt01,0.6506849315068494,0.445142800496385
awt02,0.9045775054906947,0.8922575962962886
awt03,0.5684072511686238,0.16203255917208712
awt04,0.47019359785317233,-0.06123634641494277
awt05,0.771455223880597,0.6524800756472049
awt06,0.777476391400442,0.5261464710253293
awt07,0.5402222222222222,0.08745855709788869
awt08,0.9551758520667151,0.9587266744630557
awt09,0.6951979472140762,0.6360417091678384
awt10,0.6270794246404002,0.3606660097731099
awt11,0.4816849816849817,0.29087464958954573
awt12,0.8205920205920206,0.5197739009918418
awt13,0.7207843137254901,0.5419933304631372
awt14,0.9115663900414938,0.9412563860422176
awt15,0.7615468409586057,0.4659006154384816
awt16,0.7018095987411488,0.5133604036935933
awt17,0.8030331753554502,0.7246225441687615
awt18,0.6350137391671951,0.28256655460399205
awt19,0.6633633268482491,0.41825151781412534
awt20,0.6081081081081081,0.2492469673445768
awt21,0.793076923076923,0.5616098800323321
awt22,0.7630303030303031,0.593740224948261
awt23,0.6302083333333333,0.3427059652293431
awt24,0.41146817895400123,-0.43008658541976463
awt25,0.8130952380952381,0.7413624138683675
awt26,0.6205936920222636,0.612464229200826
awt27,0.6976331360946746,0.5455859268699328
awt28,0.4712301587301587,0.18920479293198098
awt29,0.5802469135802469,-0.18538872059240372
awt30,0.6423804226918799,0.2809902407318831
awt31,0.695562435500516,0.27671353602021526
awt32,0.6764150943396227,0.42706059671627905
awt33,0.6686567164179105,0.34053168982369564
awt34,0.8691666666666666,0.7383227224741912
awt35,0.7259725400457666,0.5159618672107902
awt36,0.4765432098765432,-0.028327548226196663
awt37,0.823943661971831,0.6428218866719781
awt38,0.782051282051282,0.7073910943720649
awt39,0.6339506172839506,0.29280831670549684
awt40,0.6979823455233292,0.6629543070445048
