,auc_roc,auc_prgs
can01,0.9292407296804843,0.831706295247024
can02,0.6977022544291596,0.5005827359493982
can03,0.6269702121321905,0.14108354042113763
can04,0.7523979403689725,0.6372495913784081
can05,0.5958376071688477,0.5266802407221014
can06,0.8517819128888797,0.9774792422682681
can07,0.6185676827269748,0.1126253208473223
can08,0.5242995733278499,0.05002383348893761
can09,0.691235569537033,0.5071374255754524
can10,0.7119988093609197,0.4301328914539092
can11,0.5938595817478296,0.23089637329596324
can12,0.7927035677770677,0.6640313209633889
can13,0.3871163267272796,-0.7004057933205727
can14,0.797291740173594,0.8604419603506585
can15,0.680464502034979,0.4627224016968279
can16,0.787453103285989,0.7331387069341831
can17,0.7364541725181147,0.5608101507566909
can18,0.745555484193015,0.6574768421173328
can19,0.5375292156458376,-9.181928276749941
can20,0.7448736144898495,0.5657777627008588
