,auc_roc,auc_prgs
can01,0.8238561017246724,0.6025023415212959
can02,0.7380469939957293,0.5559628762551241
can03,0.650677275806312,0.4577793958027968
can04,0.7631580515203623,0.579382006978105
can05,0.6486775224610538,0.37594627866851793
can06,0.8567479928287474,0.8864581991027083
can07,0.6510832800385774,0.5232775294546036
can08,0.559874901137102,0.16463339912761785
can09,0.7388823592724142,0.8927635889118257
can10,0.7414559580405851,0.4133294447162721
can11,0.5956040181991185,0.21412641192437065
can12,0.8292256068258218,0.7803178196693809
can13,0.5773650566745442,0.30217255407915244
can14,0.8885864494397422,0.8657094511500806
can15,0.5916061036865563,0.18486753625600075
can16,0.7883363075670768,0.5585311261346692
can17,0.7817586017227043,0.6317565516480376
can18,0.6931622595031924,0.4113830971950881
can19,0.4296560937346799,-6.3526780114153265
can20,0.7775953800309043,0.6140207121067746
