,auc_roc,auc_prgs
nsw01,0.4521481481481482,-0.15779237098894464
nsw02,0.6133109111918125,0.2518790800446561
nsw03,0.5621476277213981,-0.1635874586996139
nsw04,0.802120669056153,0.8593610072023087
nsw05,0.43141509433962266,-0.39504807577022566
nsw06,0.4631643266813871,-0.11564161230459657
nsw07,0.5520221223643277,0.5152856673695426
nsw08,0.8027859237536656,0.7402256281606358
nsw09,0.5310545454545454,0.2121838876766605
nsw10,0.9837164750957854,0.8300862688267935
nsw11,0.6667180396085381,0.7823200243505536
nsw12,0.6114128943758572,0.6051458923344276
nsw13,0.7545642540620384,0.8764987448962891
nsw14,0.5922549683700531,0.30408712450507197
nsw15,0.7285198758723338,0.6023810825228213
nsw16,0.5745099970452083,-0.005348011454249764
nsw17,0.6398501808653052,0.3443673585116471
nsw18,0.5923839310536558,0.31902855171462474
nsw19,0.9081219168428472,0.4797060242926687
nsw20,0.8725035143092063,0.9506764525368873
nsw21,0.7834589259180642,0.34503969671648194
nsw22,0.8199676375404531,0.6557559276612235
nsw23,0.5892887931034483,0.24868876644511653
nsw24,0.6571201112822753,0.20299671435130826
nsw25,0.5262003052799555,-0.1394040553989757
nsw26,0.5031819179284617,-25.58477344901328
nsw27,0.49617535372451105,-0.04621418773009234
nsw28,0.6004107198870765,0.24843808325430064
nsw29,0.5487993803253293,-0.6454207117231523
nsw30,0.6505148891512528,0.28064378261273476
nsw31,0.5139821368542935,0.030550022204334545
nsw32,0.5914388641661368,0.402792015002656
nsw33,0.5217853399551363,0.05600151228659857
nsw34,0.5319468603327366,0.0727592869260814
nsw35,0.47608122453172613,-0.950007935641192
nsw36,0.5449703217744456,0.7674141580272743
nsw37,0.5424133590047393,0.15842977963871704
nsw38,0.43978474670625345,-0.9175733182368495
nsw39,0.5471092160243565,0.1333487396603329
nsw40,0.5092802508198138,0.042218048034809115
nsw41,0.49791597331177984,0.10182116643293647
nsw42,0.6417127071823204,-8.33602532143572
nsw43,0.44533963978408425,-0.14882800065655197
nsw44,0.98,0.999701435090703
nsw45,0.43559089456568734,-0.2471138758115751
nsw46,0.9550442698590846,0.9988397839552818
nsw47,0.8749412501958327,0.9531594216530188
nsw48,0.778300248856994,0.89935608660718
nsw49,0.6473824149628679,0.4267308679017661
nsw50,0.49915569064505233,-3.396912802159893
nsw51,0.5500665335994678,0.4776746506986027
nsw52,0.7175958877026491,0.6821579267425746
nsw53,0.7445916864877109,0.9214729303511625
nsw54,0.43494395052183993,-2.292441684636713
