,auc_roc,auc_prgs
nsw01,0.7125272439072717,0.5076220326667219
nsw02,0.6727436594775789,0.5335343299255408
nsw03,0.6224747474747475,0.50265522955763
nsw04,0.8709116214335421,0.9671719174126476
nsw05,0.5562735292465022,0.053435265511400765
nsw06,0.4831781770946093,-0.05364233136927508
nsw07,0.7745607333842628,0.7522503799063927
nsw08,0.8434925864909391,0.80876807200982
nsw09,0.6763400918330496,0.514089326865404
nsw10,0.9784063260340633,0.9971671706004582
nsw11,0.6161245001621095,0.2945129868911771
nsw12,0.7457528957528958,0.7200319241538808
nsw13,0.8241399762752076,0.8536778768129388
nsw14,0.7891397459165155,0.5671848996414139
nsw15,0.8348954443614638,0.841854997237299
nsw16,0.6298293861639923,0.2515574345850461
nsw17,0.6703366256173032,0.4852486494920271
nsw18,0.661944832360559,0.3085860843169737
nsw19,0.9405747126436782,0.39174793079968134
nsw20,0.5114861307396016,-0.17467059178602531
nsw21,0.8197849507974211,0.444435784605869
nsw22,0.7276897591640828,0.1876893837372068
nsw23,0.763526815767821,0.6023964917948305
nsw24,0.6542998049804981,0.10782318210419856
nsw25,0.6599731787165227,0.3625980819662255
nsw26,0.6475170399221033,-9.54346370173444
nsw27,0.5470617283950617,0.14776161032590568
nsw28,0.6785230352303524,0.4706382950925256
nsw29,0.7754439370877726,0.7563574545696505
nsw30,0.5992525857513149,0.19143400835018942
nsw31,0.5884662218377569,0.18414513241468664
nsw32,0.639794921875,-0.17762130572453164
nsw33,0.49406221928907956,-0.02533664323236768
nsw34,0.5103995669543832,0.050744180373691126
nsw35,0.22680196673292183,-8.070084136982032
nsw36,0.7733609068627452,0.962493489691572
nsw37,0.554021546635183,0.2557424962068486
nsw38,0.6136190278066708,-0.520515198362126
nsw39,0.5484025196912492,0.154051106465631
nsw40,0.5349138804457954,0.07144297392283762
nsw41,0.5154015401540154,0.03339992787079349
nsw42,0.5639240506329115,-17.691905143406498
nsw43,0.4834663816426734,-0.06716927290921208
nsw44,0.9661281179138321,0.998096707295443
nsw45,0.6715245120870206,0.44675222970903355
nsw46,0.9876780626780627,0.9996047795952264
nsw47,0.8568104906937395,0.6869285892050772
nsw48,0.8353515416622213,0.9482286836847115
nsw49,0.7784317323825503,0.7357629295424986
nsw50,0.8252929292929292,0.8645891504851089
nsw51,0.5899877899877901,0.1754295918698646
nsw52,0.7977058133497432,0.7208948138347391
nsw53,0.8082224909310762,0.9523366502891177
nsw54,0.5504099075527646,0.6483726040856542
