,auc_roc,auc_prgs
nz01,0.5655461670340436,-0.03476490286894771
nz02,0.7046588206279338,0.602821264419554
nz03,0.6104959566801261,-0.05350683278842272
nz04,0.7981094599269474,0.8139013575205641
nz05,0.6769648720176566,0.44527385647886664
nz06,0.6258390270534344,-0.21273729183232332
nz07,0.7221974700352936,-0.7094303611867995
nz08,0.7344786839250007,0.7276549142785914
nz09,0.6123734590758766,0.5026488653066546
nz10,0.6889783185305948,0.3954877742029501
nz11,0.7366288345137203,0.4012905216391078
nz12,0.4424989346730368,-0.2167375457032447
nz13,0.6721838290298808,0.5005019760260421
nz14,0.37572685129859174,-0.32333557930397466
nz15,0.8053193276681445,-2.6220121430025443
nz16,0.46902598505434784,-0.7196304790455283
nz17,0.6389962721385031,0.37117726135427576
nz18,0.9323813888801087,0.8932806080392238
nz19,0.6552162936681222,0.4313822072550847
nz20,0.9353621184810796,0.930494609164581
nz21,0.6695722620213181,0.702786226001362
nz22,0.5268568077115613,0.01233583892146375
nz23,0.5481620267441204,0.19046575793975623
nz24,0.6437967820916404,-1.081074930360311
nz25,0.7320155107935747,0.8205024687000432
nz26,0.7701901860203885,0.8992380449593523
nz27,0.596942959238785,0.23899286500498054
nz28,0.6628432148945737,0.6987381753924186
nz29,0.6156454968290259,0.21981529963571658
nz30,0.7338937155530963,0.541097535093807
nz31,0.8017643979057592,-3.485847252110096
nz32,0.49911520653777597,-0.16430997165257621
nz33,0.743079947096785,0.5194860481824477
nz34,0.5614488332605871,0.5101785159803395
nz35,0.6746995741360662,0.2828152812785257
nz36,0.5032556922376292,0.0025141714048300783
nz37,0.4580895843358999,-0.32793186648542294
nz38,0.5920001229696725,0.46163722242963356
nz39,0.48374825956426004,-1.2428069465848983
nz40,0.2848854873782855,-2.9741078536498837
nz41,0.9529337002096436,0.9088289857540353
nz42,0.4152376441628446,-0.20109834380743863
nz43,0.48421295113622803,-0.6471217011959056
nz44,0.7744551225068974,0.7174323066531799
nz45,0.8375900054355895,0.9499907351446951
nz46,0.7832007635259285,0.6796536590819261
nz47,0.714084251420167,0.5740341883705606
nz48,0.46483807139707334,-0.15741920799398162
nz49,0.82839947354567,0.882940045127818
nz50,0.6535165794031246,0.7069727271481764
nz51,0.5809314186282959,0.1141914536479163
nz52,0.8510675178275501,0.9350318516246021
