,auc_roc,auc_prgs
nz01,0.8930267147188375,-16.15670441047189
nz02,0.8338703384300421,0.729821764660041
nz03,0.6105982659153644,-0.022894781519782297
nz04,0.9050588367515487,0.8104045893703468
nz05,0.7106231073405191,0.5358171517527474
nz06,0.7877610952065991,0.8311986659379853
nz07,0.8183642873061217,-0.14169511359234285
nz08,0.8647939296824115,0.8986707198105724
nz09,0.6567872068036893,0.6287509018762336
nz10,0.6259176115442263,0.6330730413761153
nz11,0.7700713764372655,0.6243789737256008
nz12,0.5922967276460575,0.2805540783681016
nz13,0.7359929835254744,0.4554891929680667
nz14,0.44706359630422204,-0.15491454336888294
nz15,0.8829930203895898,-0.20857057042777888
nz16,0.7279284475365757,0.7750516671968262
nz17,0.7744704891447661,0.6221414545437473
nz18,0.9527593226905374,0.9647613553482965
nz19,0.7152272165133903,0.17903712869341687
nz20,0.9404785504964752,0.9243734521693507
nz21,0.7687924779739616,0.8212134344242493
nz22,0.7035001149888459,0.6059207416844732
nz23,0.4542260384886042,-0.24092148248518672
nz24,0.7901776529099178,-0.7088732546959821
nz25,0.8721989497661712,0.8232140786715787
nz26,0.7416940163009548,0.7025985203612939
nz27,0.6076025482675681,0.4030828092302894
nz28,0.8997727138555995,0.9962724782887628
nz29,0.6681222602347222,0.4714523219800125
nz30,0.775023523728063,0.6312985407362994
nz31,0.9289504913529875,-1.2575858386651304
nz32,0.6540546717981535,0.5827684047957179
nz33,0.8424943043512156,0.7831025621858704
nz34,0.5825429787932727,0.2854597177210232
nz35,0.7690397219557434,0.5144980512467796
nz36,0.5461118100298225,0.14401882363191756
nz37,0.5153118690957468,-0.1561489074878751
nz38,0.7364676802452907,0.6806867642401637
nz39,0.630173727920172,-2.0588672049550487
nz40,0.44458100690390523,-2.0062639501709554
nz41,0.9790376211286338,0.9978268588775758
nz42,0.5152478321848192,0.06265171956299283
nz43,0.6668664302600473,-0.4715061157531414
nz44,0.8542272009864307,0.815113782469188
nz45,0.9327738494954093,0.9385511671937072
nz46,0.8308826967629492,0.8657405858436953
nz47,0.7731868709115,0.6528942423701389
nz48,0.602967111684238,0.4565254520860832
nz49,0.929575783100816,0.9362244103467791
nz50,0.7343690138382177,0.704831849623483
nz51,0.7409666489162376,0.41241658666605113
nz52,0.8932483749120891,0.9132409694566169
