,auc_roc,auc_prgs
sa01,0.47591240875912405,-0.2720621194005298
sa02,0.6356589147286822,0.6083868716563146
sa03,0.8116319444444444,0.7636527532823829
sa04,0.9277389277389277,0.8554365769650486
sa05,0.8630541871921182,0.1217909923937868
sa06,0.9467980295566503,0.9579471000132119
sa07,0.8914930555555555,0.6016288212815991
sa08,0.9835069444444444,0.9844436920858879
sa09,0.7274647887323944,0.44721998339991514
sa10,0.568264648163723,0.2740707284255582
sa11,0.6675347222222222,0.5518287736905463
sa12,0.7849148418491484,0.8072820817447237
sa13,0.8632478632478633,0.9753094492295915
sa14,0.8325123152709359,0.9395450720042278
sa15,0.6569343065693432,0.7242684178379948
sa16,0.8758620689655172,0.9221066191042411
sa17,0.8330109606705351,0.8872665549687289
sa18,0.7309062129006727,0.7607039428239772
sa19,0.8904428904428904,0.6579526702831522
sa20,0.826056338028169,0.6060919056268206
sa21,0.7742114001106808,0.8516227314635209
sa22,0.8755641521598968,0.8505721990183681
sa23,0.8585069444444445,0.6146458840737941
sa24,0.7342784442021083,0.5871359261157297
sa25,0.6674436674436675,0.8763109795424354
sa26,0.576,0.17123360284827904
sa27,0.8943278943278943,0.9209327179716167
sa28,0.721830985915493,0.9190720909966844
sa29,0.6425796425796426,0.679110709123821
sa30,0.7142857142857143,0.45052599041201896
