,auc_roc,auc_prgs
sa01,0.5357624831309042,0.1402403147371276
sa02,0.5766563944530047,0.27617675261096963
sa03,0.8423913043478262,0.7533602445893293
sa04,0.9549808429118773,0.8035988515036662
sa05,0.9137931034482759,0.5889318271898533
sa06,0.9544159544159544,0.9919132149901382
sa07,0.9426229508196722,0.7068664337543672
sa08,0.9897388059701493,0.9856560430662203
sa09,0.8682795698924732,0.9727042143600416
sa10,0.6329411764705882,0.36041085698492653
sa11,0.6916666666666667,0.5669200050390527
sa12,0.8802113916617733,0.921556374277833
sa13,0.9006211180124224,0.9847443814324721
sa14,0.8197802197802199,0.33514580398234245
sa15,0.540983606557377,0.48110431393030495
sa16,0.8559523809523809,0.8515576168430335
sa17,0.8813559322033898,0.8235284397255859
sa18,0.6703662597114318,0.5775564216993044
sa19,0.8392255892255892,0.965970672489037
sa20,0.8780487804878049,0.9237120761451518
sa21,0.7699364855328158,0.7085917169440002
sa22,0.8986175115207373,0.9811382186524454
sa23,0.8760869565217391,0.8804578454192011
sa24,0.8055555555555556,0.7617162360068361
sa25,0.6847697756788665,0.6070558203587881
sa26,0.6204974271012007,0.33917108398249046
sa27,0.8305084745762712,0.4423133318969644
sa28,0.7579365079365079,0.8928277483833039
sa29,0.7354166666666667,0.7117019904257998
sa30,0.7112903225806451,0.02944627811018609
