,auc_roc,auc_prgs
swi01,0.6702168609225788,0.8110263878837234
swi02,0.6938766592863039,0.7681768195270623
swi03,0.8080334911912974,0.9039581541318259
swi04,0.8336191359503172,0.8974660892781638
swi05,0.9682272427912837,0.9997670185592914
swi06,0.7459445727569516,0.42760578421989265
swi07,0.8906639762017149,0.888506425339451
swi08,0.838871433244692,0.9015941604314179
swi09,0.6370715897361314,0.5010152992771686
swi10,0.6864741298575782,0.5058755025133299
swi11,0.7932697159536397,0.8662362105471225
swi12,0.6772040428299809,0.821490967213421
swi13,0.6199156538282832,0.2738209412321593
swi14,0.760215329388212,0.7890330081343649
swi15,0.7755124317676724,0.9234609891990857
swi16,0.8072147160782392,0.8525233180844738
swi17,0.9599061937547254,0.9839742506501994
swi18,0.8742211028182791,0.6504437683243599
swi19,0.9564159548360595,-0.2424426197017535
swi20,0.6769335194891674,0.4556291244348826
swi21,0.7041463267807889,0.49250670284052733
swi22,0.6972103270546969,0.7436398889982739
swi23,0.7152818002006233,0.6142244067915804
swi24,0.6415547993038543,0.3987551181985898
swi25,0.951174966150143,0.9853989278096794
swi26,0.8718119034403691,0.9761573225301932
swi27,0.7766936756718539,0.9005283379097396
swi28,0.7248593541583135,0.5113632781689988
swi29,0.7070644608090386,0.6669002077108375
swi30,0.637346584183879,0.4693042296448084
