,auc_roc,auc_prgs
swi01,0.7603553479153394,0.9429342530437159
swi02,0.7512969693833995,0.6668854935921843
swi03,0.7125161762568448,0.7852863584132835
swi04,0.8676759544722162,0.9632618501418871
swi05,0.939592881621867,-23.18466747340772
swi06,0.7956545862371402,0.4944323448027715
swi07,0.8900048891875206,0.9068694679658461
swi08,0.8619892628849599,0.8951100492959897
swi09,0.7685315353663194,0.8152159123506258
swi10,0.7590115814891696,0.6362553816030981
swi11,0.779058728655899,0.6166385607841631
swi12,0.7300762383746457,0.7640922676160636
swi13,0.6679936366648831,0.40410341714661197
swi14,0.7801266982075707,0.8278545242558153
swi15,0.7715217090104838,0.9110939797409313
swi16,0.8120118186027816,0.8467265558321327
swi17,0.9652211322538707,0.9771490148726669
swi18,0.8510762341092951,-0.13595825332641506
swi19,0.9465364946536495,0.8871583503049599
swi20,0.7717195710680008,0.641737429495938
swi21,0.7274792708730531,0.6510228861665759
swi22,0.7635170716596682,0.9087682899190438
swi23,0.8373619292295662,0.8407888671781889
swi24,0.6426252578542055,0.7447154597528273
swi25,0.9653229331597812,0.9892863689716571
swi26,0.9008549126502292,-6.31901221104621
swi27,0.7792562557924003,0.8963231655668081
swi28,0.7716354112203819,0.578597758288401
swi29,0.624624060150376,0.9319575879174017
swi30,0.7046198832846248,0.5859795773586582
