,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
awt01,0.7201525245441796,0.487432919058176,0.3361164102662027
awt02,0.942451874366768,0.9059584187078964,0.7279353927858089
awt03,0.6391123847312539,0.3567340011901912,0.2427222469655013
awt04,0.3974127138684101,-0.2140965766803478,-0.1698064712276877
awt05,0.7594219737128749,0.7456386446062836,0.2942073400984916
awt06,0.7198629897591835,0.5083977745142527,0.4701842616528306
awt07,0.6152342819009484,0.2850601026474838,0.1685083325854236
awt08,0.9478263996260472,0.9297333624495938,0.7738747896590543
awt09,0.5348269742679681,-0.0796683165735008,0.0450573292840838
awt10,0.6555857637172516,0.3750652823062951,0.2680491952971978
awt11,0.4295459891790167,-0.8218493565359292,-0.0483094950016784
awt12,0.6666666666666667,0.5832912283865803,0.136030662753525
awt13,0.7193524468610973,0.5217702123578224,0.3477716422386271
awt14,0.7825454545454545,0.7892519687003504,0.3351862376770065
awt15,0.7699896157840084,0.512712918067657,0.5042404861719809
awt16,0.6338315217391304,0.2761764943262079,0.1876151783116838
awt17,0.744500430133956,0.5399199680793554,0.3526564640030575
awt18,0.4722591780230843,-0.0382250378401875,-0.0502143467708213
awt19,0.6868206521739131,0.4530255973479865,0.2604929490489101
awt20,0.4399038461538461,-0.2359001993655971,-0.1094094042157596
awt21,0.6067073170731707,0.381974726876315,0.1849236705002391
awt22,0.5999121651295565,0.2196985954100892,0.1601073627628645
awt23,0.5860726643598616,0.2331094566272242,0.1172360661074324
awt24,0.508641975308642,-0.0092524481715154,0.0384313038921579
awt25,0.5064102564102564,-0.1991096602107609,-0.02285914281283
awt26,0.6257267441860465,0.3236022157095297,0.1433565830866816
awt27,0.657283950617284,0.2931267858857523,0.1811320058981166
awt28,0.7175324675324675,0.687262498711261,0.2914412850413538
awt29,0.7662835249042146,0.608557937165958,0.2793656837550484
awt30,0.6372419850680721,0.2672833384534005,0.162482039888357
awt31,0.6995967741935484,0.3875895128814318,0.2402630376240847
awt32,0.6551724137931034,0.3183348116484503,0.1963907454916608
awt33,0.2986111111111111,-0.7025335527030172,-0.2698972713364025
awt34,0.9049808429118772,0.8165329011585145,0.5765055958268357
awt35,0.645,0.2452944273588165,0.2128573430742266
awt36,0.4459823144944252,-0.0274896041540143,-0.1270022619694802
awt37,0.7854203409758965,0.8056566285731901,0.3911233338490453
awt38,0.5574127906976745,0.0182514562437724,0.0766451773061056
awt39,0.7223214285714286,0.4354913839413013,0.3097220054509033
awt40,0.8190601668862539,0.7234420581680111,0.5198124341782171
