,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
can01,0.9072626977076974,0.8278819224945382,0.2075440130636397
can02,0.7073782287300958,0.485218098513316,0.2890082966555761
can03,0.6439409309724158,0.4106671841717109,0.1068638743323619
can04,0.6873582310597685,0.5510920556400875,0.1561765256247378
can05,0.6095727456325062,0.2288599027444351,0.0981390963130967
can06,0.8849996231093736,0.5973281067846777,0.0901912886573685
can07,0.6855254959974724,0.5711779254532106,0.0972423774132604
can08,0.5396632888454792,0.1500112312054976,0.0626235882854425
can09,0.7288810238347476,0.8292437735298891,0.0871727834006053
can10,0.7129031309486944,0.4239837102585569,0.2144505380037348
can11,0.6106114659325581,0.2521381044800562,0.1948355389869352
can12,0.73374850238155,0.5408493432220858,0.2787243827819154
can13,0.5465026658249308,0.3275676466186938,0.0405441581356681
can14,0.7431579458048128,0.769797918991839,0.1467030336282904
can15,0.5533319685684142,0.1405882309682713,0.086080579771275
can16,0.7716549600628695,0.646153006076564,0.1372162745232403
can17,0.7091430441272801,0.5753686061981083,0.2686335059989254
can18,0.73284716516023,0.5059540853258906,0.2305662108422844
can19,0.5189457734699021,-56.701908789069925,0.0095390892487618
can20,0.7589550462100066,0.5990645555154056,0.2101119775030915
