,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nsw01,0.7152222222222222,0.4885898281726549,0.2598116640634469
nsw02,0.6435808022449655,0.3566458736291625,0.1631779629491123
nsw03,0.5994448781334027,0.1239306098317874,0.057154411255925
nsw04,0.8166069295101552,0.938082746826067,0.1640898343514756
nsw05,0.4663207547169812,-0.0739705433791543,-0.0325253137038412
nsw06,0.4622616617367273,-0.0989252557026162,-0.0591786375197058
nsw07,0.6583131697200139,0.5774742424531497,0.1507602662118053
nsw08,0.837316715542522,0.8599985190181506,0.2129233699126851
nsw09,0.5411532467532467,-0.0972250618036713,0.0555641157677339
nsw10,0.9815613026819924,0.9148314258818866,0.2189287494373279
nsw11,0.768051167450104,0.4727107665351884,0.1515697390850782
nsw12,0.487517146776406,0.0431584187906017,-0.0034077438148641
nsw13,0.7454652880354504,-0.5803621138434608,0.1460580009754148
nsw14,0.8155245060332257,0.684702684102809,0.4608966121077176
nsw15,0.7568417653088447,0.7276119212754747,0.3438613529279661
nsw16,0.6271967469150568,0.213833185610735,0.1526181319123121
nsw17,0.6548534563787063,0.3379687871293332,0.182723258442766
nsw18,0.783479288295802,0.6085721218954256,0.3682757611946936
nsw19,0.9537085976039466,0.7198339530824613,0.1454767967915922
nsw20,0.8846378272286025,0.9452337011872868,0.210796618199763
nsw21,0.3060125238802801,-3.4218575698987594,-0.1026709844046745
nsw22,0.9320064724919096,0.2516611172262323,0.1848854479647286
nsw23,0.4224216300940439,-0.299654319600774,-0.1243607117654536
nsw24,0.627652725725979,-0.0812812472371352,0.0896547771498562
nsw25,0.7329349661185504,0.4798253956815942,0.154042307317818
nsw26,0.7292078121571208,-6.583189655033981,0.0554004850873063
nsw27,0.5114258218893051,0.0321272761826435,0.0235807400839587
nsw28,0.6917444322459222,0.4108784177579076,0.3265402818181401
nsw29,0.8581633531284965,0.4494698024423441,0.1892194405293524
nsw30,0.5287803826764865,0.0779273044818866,-0.0103184446067855
nsw31,0.5873758077167295,0.198932025911914,0.1148342007771113
nsw32,0.6019636928727838,0.1777920419757552,0.0375491587802488
nsw33,0.440237248621274,-0.1203678897749844,-0.1074321324375309
nsw34,0.462872910873825,-0.0929676627500455,-0.0463452086971377
nsw35,0.2905865835701812,-0.4846541351798878,-0.0821062855833735
nsw36,0.5964229928147454,0.837190549570071,0.2604345429378735
nsw37,0.5548541172985783,0.1882231325990452,0.0667447691437411
nsw38,0.6012618296529969,-0.311778733835406,-0.0376429850923897
nsw39,0.5032076673346071,0.005870182818851,0.0202814600979845
nsw40,0.4522286179811803,-0.1165396595580273,-0.1169463145680455
nsw41,0.5181698600611737,0.0347821014710917,0.0036763349817778
nsw42,0.4558011049723757,-22.84020100119044,-0.0140273820811294
nsw43,0.5417802362246806,0.1079068658715688,0.042165039866125
nsw44,0.922716049382716,-0.6473979472080502,0.2005814373946763
nsw45,0.5152352487828719,-0.0078991098910588,0.0089983962301839
nsw46,0.9532984162613792,0.9397975899407274,0.3330007897378169
nsw47,0.7445950180166067,0.5501325561252777,0.1133717770042627
nsw48,0.8274060998900399,0.6585601788977377,0.3264281639406369
nsw49,0.5588577554287648,0.2002431113815574,0.0668029615637366
nsw50,0.7968350460751678,0.8057825596890923,0.1690698068430761
nsw51,0.5114770459081837,-3.90294963964287,0.0136323068546523
nsw52,0.7391423128077933,0.6375526638650217,0.3134452816404404
nsw53,0.5214633593838487,0.642580224369915,0.0187219724090018
nsw54,0.43533049864708157,-1.4100769172448475,-0.03475389607148603
