,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nz01,0.8645381070068799,0.210366879266263,0.0860167547943098
nz02,0.6738396682676432,0.3802117140915874,0.2486664272762609
nz03,0.568217172755111,-0.0959528437239933,0.0201770398697225
nz04,0.9073198328055916,0.8728707491512212,0.4824118696352559
nz05,0.5782286516992078,0.1726326924473183,0.110760723377791
nz06,0.679047011598735,0.0632803922779857,0.132509417076911
nz07,0.7729059649858476,-5.394662904216854,0.0425139987151767
nz08,0.4503612379724181,-0.2195165636009123,0.0169224625439224
nz09,0.7057998209275718,0.8597003120348294,0.0811163614964709
nz10,0.4704507185371088,-0.9705336364997492,-0.005805071690244
nz11,0.8343661673362907,0.5777834453748363,0.2416069619562447
nz12,0.477899723078612,-0.1406835182468477,-0.0223152863642435
nz13,0.7622901319540039,0.5944791521700233,0.3132244879833206
nz14,0.4928484230559621,-0.024711665970919,-0.0168007582744437
nz15,0.7405067422595907,-1.1792173534172956,0.0412942539806917
nz16,0.4812167309179106,-0.0249528345665435,-0.0148277678502194
nz17,0.7195046126816271,0.4847508678511187,0.345838837424035
nz18,0.9508347820589816,0.9282700660417909,0.3425175818088665
nz19,0.4425010234716157,-0.4681329344519909,-0.0379829571050268
nz20,0.9022528675451166,0.8980937417152279,0.2576558372814855
nz21,0.677239638062866,0.5070737077795724,0.1266829905268598
nz22,0.6694562522802066,0.5818907586347042,0.1072643365905291
nz23,0.4128607183275796,-0.4552237107638159,-0.1182515885123311
nz24,0.6530167890870935,0.9358881029804328,0.061924080943949
nz25,0.2938156154852847,-3.680222409703381,-0.1074576699730173
nz26,0.8961502618206482,0.935544569963727,0.2274297846497226
nz27,0.4722318415603351,-0.1490701376981704,-0.0266721162793248
nz28,0.6548676740313378,0.7962764557152404,0.0354425156597226
nz29,0.6425286508925464,0.3626076295013815,0.1648424617430397
nz30,0.7640492281482791,0.5601189151691701,0.4382862626439997
nz31,0.7108167539267016,-0.0379612510334672,0.0234270897252807
nz32,0.5468275295399884,0.4845240240976612,0.0466030257011491
nz33,0.8343948955644649,0.8118410445054367,0.2487797914267581
nz34,0.5592180857002028,-0.3175311012902884,0.0233011606732918
nz35,0.7649575308712975,0.5131152858913397,0.4421965165382134
nz36,0.6042008156341767,0.2221163918498233,0.1834851320560016
nz37,0.5725513323724118,0.1777495550482148,0.0814748704987749
nz38,0.8007280412801526,0.7653941134221475,0.2785745932357321
nz39,0.7551792351132216,0.4724402517675445,0.0481745013327398
nz40,0.5646623980351128,-0.5817937788018578,0.0207022951296809
nz41,0.928691037735849,0.2297514796699144,0.095206319108311
nz42,0.3350251426122734,-0.5409681475529263,-0.2186281826439925
nz43,0.473519992057392,0.2749526932449438,-0.0035186577841126
nz44,0.7930370911772645,0.7051827196186842,0.3601886957133652
nz45,0.8749830303332022,0.936422784889866,0.2290771290758091
nz46,0.8931349308352136,-0.2770051250406034,0.0804834435115123
nz47,0.7792243930526326,0.6417615884885008,0.2863477410350445
nz48,0.59944584432294,0.7525155914331769,0.075447548552725
nz49,0.3690935509344565,-7.722072521024932,-0.0394180970922664
nz50,0.6440833435200927,-0.2993786534693512,0.1181477322024778
nz51,0.3220640089990063,-2.8463533671724544,-0.1018825742885309
nz52,0.8007194590227179,0.6815898854830612,0.15942253738040846
