,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
sa01,0.5712895377128954,0.4109092410787749,0.0517973421289118
sa02,0.5898213683855746,0.3776265309018506,0.1210476581115272
sa03,0.8359375,0.9709305275608188,0.3270728870386375
sa04,0.9324009324009324,0.9214874984808178,0.467073011282066
sa05,0.7566502463054188,0.5741486939206915,0.1865810081633148
sa06,0.954679802955665,0.98690110318404,0.4703272730148828
sa07,0.8741319444444444,0.6089935892052294,0.3040111129119163
sa08,0.4383680555555555,-2.8325231481481485,-0.0928421228295365
sa09,0.8077464788732394,0.844889938377064,0.3458524111247414
sa10,0.6949817774039809,0.647822627683873,0.2576562752951703
sa11,0.8142361111111112,0.8076604098429498,0.2460817029075
sa12,0.6666666666666667,0.5080396469621756,0.1792071470685023
sa13,0.9036519036519036,0.6113702051985643,0.339625162426071
sa14,0.8206896551724137,-0.2012799983013418,0.2337943119944845
sa15,0.4778588807785888,0.5074995279180364,-0.0504930900716554
sa16,0.9320197044334976,0.7161973416001358,0.367543432644801
sa17,0.9026434558349452,0.9785170424385068,0.4254935460913911
sa18,0.7146814404432134,0.342191882903576,0.2327837606667556
sa19,0.8166278166278166,0.7197094457393531,0.2767494942396314
sa20,0.6281690140845071,0.056721204153155,0.1196343355043975
sa21,0.7802988378527947,0.5783800963532144,0.2516681116416877
sa22,0.8684719535783365,0.6752290404869334,0.3234339779749891
sa23,0.881076388888889,0.7619363434674281,0.2884037768200855
sa24,0.5030897855325336,0.0799719000733804,0.0158888666354368
sa25,0.693084693084693,0.6835908459325667,0.171378215279548
sa26,0.6,0.2488917926833696,0.1329454316274054
sa27,0.8951048951048952,0.9827166153027792,0.3720580931545859
sa28,0.4422535211267606,-2.2273513303908707,-0.0584473225749708
sa29,0.7948717948717949,0.7686527489049966,0.241822685248935
sa30,0.6394088669950739,-0.46580421833418256,0.09850733739155708
