,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
swi01,0.859284753316691,0.9545100224351798,0.1629842993211514
swi02,0.7918620275157424,0.7869056632607074,0.1872669410084242
swi03,0.7859657183298351,0.911286758126168,0.1207712970604984
swi04,0.8888342480715756,0.8860382088640775,0.2012911629314634
swi05,0.9899779514932854,0.9711623087388728,0.4211662800807126
swi06,0.7966675878846673,0.4986179385261629,0.5065362566148817
swi07,0.9222847605035328,0.9478854706235238,0.2970688022818237
swi08,0.8764417394791271,0.9101289147654136,0.3241530240761191
swi09,0.8294425355733447,0.8442020125847399,0.2242601397142659
swi10,0.7956221243803443,0.7069599391571328,0.3585521516327164
swi11,0.8579045273527562,0.9571609667883528,0.1658209048086913
swi12,0.672795957170019,0.6958760943916894,0.0832782229324932
swi13,0.7645735602623662,0.609088796297797,0.4255195034522874
swi14,0.8047412754081775,0.842366942153072,0.3382268206287231
swi15,0.8148847321243767,0.9294537878527,0.1588155716010593
swi16,0.868564742795023,0.8850945719157032,0.2912623286211284
swi17,0.9892905651792824,0.9960462050931264,0.7311676299119956
swi18,0.9579992451725704,-0.2407789217477576,0.1624341362636363
swi19,0.9702505713954688,0.788110865292783,0.1878215664307015
swi20,0.7923348592960371,0.7374606622552816,0.1718206788198586
swi21,0.7731762966449222,0.7491261789077204,0.1461964812080328
swi22,0.8652932359066018,0.9011703101002652,0.2273787246430228
swi23,0.855268168510954,0.8953714625375111,0.4956566360241539
swi24,0.6706011462016827,0.7778436041035786,0.1157194232851847
swi25,0.9803460207612456,0.9886179606765884,0.4478590065439378
swi26,0.8707473089416838,0.9534533332885474,0.1014019059856898
swi27,0.7968296226518404,0.8928255852615854,0.2422680106383312
swi28,0.8001445642982582,0.6215763605527256,0.5334906330392825
swi29,0.6846696257439725,0.9592302148477156,0.081612213758659
swi30,0.7501282015529817,0.6530696586782201,0.31158389370722844
