,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
awt01,0.698851683029453,0.608421105695271,0.310348791291033
awt02,0.8819452887537994,0.8665416987397501,0.6129180593977004
awt03,0.5225394026231677,-0.0032785174553741,0.0941672374314359
awt04,0.4517665878425372,-0.1055445387220089,-0.081627957368039
awt05,0.7319003703434754,0.5514806934526473,0.2600254623813532
awt06,0.708888189857048,0.4886428191400313,0.4186842751281889
awt07,0.5362028695362029,0.0863938975203956,0.0674950210774891
awt08,0.774082197691561,0.5963710663520506,0.4256998964437323
awt09,0.585477669328601,0.2302061501074911,0.1132161654692432
awt10,0.660199373867194,0.3550446195610781,0.261619629556285
awt11,0.4283697953422724,-1.488201384538884,-0.0246584844857785
awt12,0.6707175925925926,0.6697224683359172,0.1269985765430661
awt13,0.7386307464162136,0.5508241881767447,0.3541218434682463
awt14,0.7296783216783217,0.5574837413953388,0.3145355480875192
awt15,0.8115635662364633,0.5516548810604076,0.5294001258986121
awt16,0.7256567028985508,0.590052599288855,0.2962623712008115
awt17,0.8207365531932326,0.7150517426571309,0.4626880396556485
awt18,0.3596418683254827,-0.3073891633413201,-0.3010255447958608
awt19,0.6752151268115942,0.3769539029076802,0.2465486451109941
awt20,0.468701923076923,-0.1403708825196667,-0.0084989724139343
awt21,0.626219512195122,0.2395878045447209,0.1393765221722263
awt22,0.2648221343873518,-0.5883858145031005,-0.3599964916016097
awt23,0.5393598615916956,0.070236035722437,0.0828458951250811
awt24,0.797037037037037,0.5856019132937225,0.436445932414233
awt25,0.6292735042735044,0.428973438781739,0.1323921184621317
awt26,0.7390988372093024,0.4928244263311774,0.2706360340967595
awt27,0.682962962962963,0.4621324967707456,0.2965886915770087
awt28,0.8271103896103895,0.7331213480420395,0.3895988357146515
awt29,0.8360153256704981,0.7671906042880416,0.3962034318540476
awt30,0.5797101449275363,0.0991504033144164,0.1400366645628269
awt31,0.6850806451612903,0.3917217967868878,0.319781596546741
awt32,0.5995297805642633,0.225665246559798,0.1948345668698107
awt33,0.376068376068376,-0.4076192786238317,-0.1970210190494614
awt34,0.8743295019157089,0.8058058540452112,0.4587604986290499
awt35,0.5988461538461538,0.1390862735387726,0.1812281599731506
awt36,0.419838523644752,-0.0981952319227906,-0.1409045792480271
awt37,0.7695473251028806,0.7357286583109862,0.3718112257755065
awt38,0.5421511627906976,0.077107978977971,0.0570470051012654
awt39,0.6745535714285714,0.4790873398480282,0.2671978691825199
awt40,0.7940272288098376,0.7344688252392583,0.47046157211289075
