,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nsw01,0.7851111111111111,0.6132064388230184,0.391648998304362
nsw02,0.527081957741829,-0.121304657864842,0.0292678876083941
nsw03,0.5737704918032787,0.2588798541673011,0.0517207348149588
nsw04,0.482078853046595,-4.4468783126310445,-0.0079188222477914
nsw05,0.4919811320754716,-0.2336754572698771,-0.0220915916944438
nsw06,0.5210320932105709,0.0736276537690342,0.01922170762735
nsw07,0.7149585205668856,0.5137628494383675,0.1689297585979678
nsw08,0.6528592375366569,0.4190067404970574,0.0886906288381621
nsw09,0.4315636363636363,-0.4642491518037456,-0.0855117083327537
nsw10,0.935823754789272,0.9980584869203328,0.1819306777286874
nsw11,0.5768667642752563,0.7915739007192674,0.0681615182758827
nsw12,0.4358847736625514,0.2521941546555459,-0.0332723790812628
nsw13,0.5972230428360413,0.5621575430389598,0.0653278370106466
nsw14,0.7068001515482026,0.4570563207189901,0.2759024526618996
nsw15,0.6113147141834113,0.2598719659729993,0.1437664602293852
nsw16,0.5962066102911173,0.1878316411942218,0.1170298569300638
nsw17,0.552458059187103,-0.0513456555399522,0.0687177113262636
nsw18,0.63814011676397,0.4463070210187866,0.1911911138839
nsw19,0.5054615926708951,-2.3220281838529373,0.001431455701296
nsw20,0.871522160040315,0.9734682778103824,0.1945703730987272
nsw21,0.2908971909714852,-4.616131773742652,-0.0975841958452794
nsw22,0.7446278317152104,0.8686473302676988,0.0669956072655782
nsw23,0.4649973876698014,-0.1595366557298672,-0.0479880136622181
nsw24,0.5645075069551422,0.136422768567253,0.071580077697276
nsw25,0.5692806262864544,-0.4019882031419515,0.0526839752227826
nsw26,0.3807329383366249,-30.415527083482445,-0.0280377422571743
nsw27,0.5393492509363296,0.1327310841235429,0.0621357201378328
nsw28,0.5605958869196989,0.1183125393601459,0.1413782672846742
nsw29,0.7475901540580084,0.1654633771221401,0.0887256283797467
nsw30,0.5789504507036974,0.1737829196207411,0.1313910269578165
nsw31,0.577106599932768,0.1646680878258363,0.1437104492523975
nsw32,0.5688352051988416,0.0329019326809582,0.0370286956553386
nsw33,0.4731846366334598,-0.0436584380158478,-0.048614380757981
nsw34,0.4011926376421494,-0.2875472054322142,-0.1612637321455073
nsw35,0.3791048864842653,0.3615535549263824,-0.0631026439109299
nsw36,0.5936426116838487,0.874082155832056,0.1759395869200633
nsw37,0.515911952014218,0.1835476166190781,0.0428474166056588
nsw38,0.4157852415414115,-0.6269183200366404,-0.0818632943292046
nsw39,0.5354746260310359,0.0873684813481092,0.0441024487166461
nsw40,0.4415514950029419,-0.1173705848460017,-0.1346663163720093
nsw41,0.4171460720455158,-0.3285943194735889,-0.1287837129140134
nsw42,0.2870165745856354,-20.963327635501564,-0.0392561738455014
nsw43,0.4691023996579552,-0.1018014325660854,-0.0670171607987516
nsw44,0.9365432098765432,-1.2164677041524945,0.2142362554965559
nsw45,0.4845203857215361,-0.0843591504333745,-0.0557916861944629
nsw46,0.8934405786257639,0.9596154513879716,0.2657637656500579
nsw47,0.7494908350305499,0.2076708241318208,0.1196297989617418
nsw48,0.7665808206493432,0.4401096992608989,0.2361352437204106
nsw49,0.510251003237159,-0.0637182285620182,0.0242953860787367
nsw50,0.7612775606696579,0.1245921362123654,0.1286229423252401
nsw51,0.4876912840984697,-3.070870743542854,0.0007248708520069
nsw52,0.7831122614040764,0.7458742361081556,0.3612853743224181
nsw53,0.3862649601691396,-3.0477318790302754,-0.0577938884848309
nsw54,0.41507537688442214,-2.654697543234297,-0.03622463710872628
