,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
nz01,0.8724247831521894,-0.1042742700576304,0.0654301517658823
nz02,0.3446585489217444,-0.5980354408146347,-0.2467793592153072
nz03,0.5557336009133215,0.0877222560760515,0.0116974803435349
nz04,0.8911005714258999,0.8470804638496106,0.3657609798537823
nz05,0.4110394784570296,-0.4680696035954204,-0.1016166362222097
nz06,0.6312150258434113,0.3027061676765569,0.1295159080644281
nz07,0.6184660466555844,-7.632622599372706,0.0251353385845855
nz08,0.3145645183630131,-0.5191881142400698,-0.2471693382552254
nz09,0.6742514076973715,0.6065583373617539,0.0577893168257491
nz10,0.2323188646633684,-2.3935815581124125,-0.2553863559923069
nz11,0.7798173177610808,0.4977353967072162,0.1692597277616285
nz12,0.3863746498566116,-0.5300688174026277,-0.1492691675998133
nz13,0.7919210445084053,0.7437467867949771,0.3318586368432049
nz14,0.4812917313817937,-0.0392253604817292,-0.0371498786942072
nz15,0.7536381234891314,-0.996189755783573,0.0419682223704166
nz16,0.5346181696183908,-0.0807087519724005,0.0416501046085263
nz17,0.5138849873574426,-0.0292829143454101,0.0686155649254695
nz18,0.8059052164659523,0.3917788356304247,0.1591708052177629
nz19,0.3271359511462882,-1.2003489686076678,-0.1227385758978879
nz20,0.8769525401196553,0.8672376903772601,0.1753333130749862
nz21,0.5362931930940432,-0.5446359223423063,0.0449291988078243
nz22,0.7345911582201344,0.683973096172377,0.1459780118071608
nz23,0.4471586809088299,-0.4711006766112984,-0.0332273619961165
nz24,0.7233455753760056,0.9692701887237218,0.044470689892412
nz25,0.2302353785316576,-6.129336376292821,-0.1516887650697372
nz26,0.930437284542034,0.964599878598295,0.1528673382825965
nz27,0.4715967637927711,-0.6676934608701268,-0.0104034081995044
nz28,0.6454018542143551,-1.0591395935483383,0.0318826470859394
nz29,0.5830197830695858,0.1683202824980398,0.1209110567120679
nz30,0.7218595903738663,0.4972996584364007,0.3852752856233545
nz31,0.5187866492146598,-44.35818592697384,0.0060315258003149
nz32,0.2762716389651473,-2.5899429791822395,-0.1867763946631704
nz33,0.8181719737098139,0.7092760567506228,0.2037796861752366
nz34,0.5470002087673417,-0.0087417110425983,0.0359167703549515
nz35,0.6401857612031296,0.2731669901563164,0.2510320194641443
nz36,0.5340249729838612,0.0622244509418239,0.0862562719350488
nz37,0.5346098994194368,0.0528214943722984,0.0575745906903858
nz38,0.8406727732439654,0.9067346311360104,0.2734416289167155
nz39,0.7297621258956198,-2.4992403406663706,0.0289626189783311
nz40,0.659717046322349,-0.3842756290491683,0.1104987658906902
nz41,0.8709368448637318,0.2665724311597879,0.05645658350284
nz42,0.3034940417792341,-0.6184290805370026,-0.3182426435573543
nz43,0.4865159727854124,0.4271973893529018,-0.0036422495307949
nz44,0.8279889027165958,0.835601763904695,0.379592775752443
nz45,0.8370867853033946,0.8646005919654178,0.1430077490720573
nz46,0.8797970277706376,-0.1171187290227478,0.0522030294093104
nz47,0.7819465305010644,0.67641462630043,0.3406093617666175
nz48,0.6431825814434049,0.7576062047224025,0.1087489587788477
nz49,0.0967479863121874,-17.032255466662587,-0.1095200544172506
nz50,0.3463578492890522,-0.9533827167169768,-0.1156226928542534
nz51,0.5657163518126684,-2.0346913831254603,0.0445911820716282
nz52,0.18511477812312718,-5.211431349125147,-0.2039731732541409
