,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
sa01,0.4778588807785888,-0.4085579595590159,-0.0362377488291366
sa02,0.549376474553421,0.1349072782669791,0.0557257377622644
sa03,0.5894097222222222,0.37686170249993,0.0598988744826115
sa04,0.9448329448329448,0.9838400703941416,0.3270608116847237
sa05,0.8206896551724138,0.6987173640601703,0.2312823211828184
sa06,0.883743842364532,0.9786921720174396,0.2712235167752169
sa07,0.8446180555555556,0.7553990824724951,0.2523838127173329
sa08,0.7560763888888888,-0.6604719212787993,0.1858877734735144
sa09,0.747887323943662,0.8711487945483468,0.2527766443827556
sa10,0.6652649285113541,0.4705951003240743,0.2140032159933565
sa11,0.8194444444444444,0.8797186353965456,0.2395537530179195
sa12,0.635036496350365,0.6245868064229412,0.1717846680373454
sa13,0.5998445998445998,0.1463543072534081,0.0810739914655391
sa14,0.819704433497537,0.5983123690617745,0.2268862288295218
sa15,0.5221411192214112,0.3039562152749565,0.0254087785748254
sa16,0.9064039408866996,0.8676449389426797,0.3204450956982881
sa17,0.7047066408768536,-0.0979212621054526,0.1618080732790117
sa18,0.6470122675108825,0.0347011819816262,0.1607928788776324
sa19,0.8313908313908314,0.477077132823886,0.2294523420579332
sa20,0.8140845070422535,0.8111550143009735,0.2303452747015533
sa21,0.5373547315993359,0.5339958917343955,0.0085470335769853
sa22,0.8562217923920052,0.5532567144317895,0.2673806798867484
sa23,0.8810763888888888,0.6728167604490356,0.2518949247320296
sa24,0.3249727371864777,-1.1761797191121162,-0.1544828589683724
sa25,0.6146076146076146,0.0927612276653858,0.1003118131508535
sa26,0.5875555555555555,0.3298153815624058,0.1201432531492795
sa27,0.8259518259518259,0.7816054264999069,0.2443674120828357
sa28,0.430281690140845,-2.202789412812668,-0.0125424804760081
sa29,0.77000777000777,0.74711472187902,0.1965311824041175
sa30,0.47684729064039405,-0.7237126691580319,-0.059663428642409796
