,mean_test_auc_roc,mean_test_auc_prgs,mean_test_cors
swi01,0.8453934271875254,0.8964219443262735,0.1424825902134254
swi02,0.8014089469339256,0.7771827724737779,0.1907717052362567
swi03,0.8058703757342964,0.8815599263237556,0.1264312384689414
swi04,0.8949312290107067,0.944835856576118,0.1865913597568843
swi05,0.9905878647309796,0.9854669804837102,0.2771801428126076
swi06,0.805516638795122,0.530832988381477,0.5245004449343744
swi07,0.9059984302554008,0.8562853435396737,0.2643535600550473
swi08,0.8710443399743925,0.9012955346895152,0.3025135909744773
swi09,0.8253645539806527,0.8744942005987887,0.2115897456859961
swi10,0.7914529044763873,0.7047286637484956,0.3475259617397105
swi11,0.8584649153450243,0.9363061522848412,0.1541744215588079
swi12,0.7131041729210448,0.7217171931106078,0.0542301604489449
swi13,0.7373314832335041,0.573724401821548,0.3858284834229744
swi14,0.804713209140097,0.8136838339288557,0.3333866150742804
swi15,0.810440660348425,0.8160911246757491,0.1396494324495355
swi16,0.8609600669630518,0.8271759990295446,0.2792807443694126
swi17,0.9880310055735094,0.9959973861681728,0.6536873131760143
swi18,0.9584613844151242,0.6484684168663788,0.1444247723821808
swi19,0.961840262051968,0.9725043366268276,0.1335115751939993
swi20,0.7817772326768638,0.6872224908222855,0.1626520750944801
swi21,0.6432580119084104,0.1622909374326392,0.0786821780076898
swi22,0.8524246580395497,0.8646796633678651,0.191334111680399
swi23,0.8171688144046237,0.8296578216801122,0.4306853950915242
swi24,0.6465896620146102,0.6921414642611702,0.085967247628521
swi25,0.9729454748651378,0.9816942198014132,0.3627246651421325
swi26,0.912093611523098,0.9990483286338604,0.0880481034057383
swi27,0.8190382919364777,0.9045409353625216,0.2442307447368412
swi28,0.8025858709644695,0.6311318442911775,0.5233552801387842
swi29,0.7098628064158176,0.7936019543155916,0.0781459073533989
swi30,0.7416537303166075,0.6351771203076146,0.29900318347642474
